Location	Start	End	mRNA	GENE #				
Chr_01	385612	387520	ID=mRNA84	gene84	Name=wlab.3349.1_mRNA	proteinid=177	annotator=automatic	
Chr_01	389833	397209	ID=mRNA85	gene85	Name=wlab.246988.1_mRNA	proteinid=180	product=acetyl-coa%20carboxylase%20%28EC%3A6.4.1.2%29	annotator=Magdalena%20Gutowska
Chr_01	400764	403855	ID=mRNA86	gene86	Name=wlab.9945.1_mRNA	proteinid=182	annotator=automatic	
Chr_01	405214	406011	ID=mRNA87	gene87	Name=wlab.246989.1_mRNA	proteinid=184	annotator=automatic	
Chr_01	408685	410509	ID=mRNA88	gene88	Name=wlab.232421.1_mRNA	proteinid=186	product=Myb-type%20transcription%20factor	annotator=Jae-Hyeok%20Lee
Chr_01	413102	414515	ID=mRNA89	gene89	Name=wlab.232419.1_mRNA	proteinid=188	annotator=automatic	
Chr_01	419243	420216	ID=mRNA90	gene90	Name=wlab.232418.1_mRNA	proteinid=190	annotator=automatic	
Chr_01	420557	421690	ID=mRNA91	gene91	Name=wlab.246991.1_mRNA	proteinid=191	annotator=automatic	
Chr_01	422867	424214	ID=mRNA92	gene92	Name=wlab.246993.1_mRNA	proteinid=193	annotator=automatic	
Chr_01	426059	427906	ID=mRNA93	gene93	Name=wlab.2156.1_mRNA	proteinid=195	product=GAPDH%20%28Glyceraldehyde%203-phosphate%20dehydrogenase%29	annotator=Valeria%20Jimenez
Chr_01	431951	434963	ID=mRNA94	gene94	Name=wlab.232416.1_mRNA	proteinid=197	annotator=automatic	
Chr_01	439186	441814	ID=mRNA95	gene95	Name=wlab.9943.1_mRNA	proteinid=199	product=Asparagine%20synthase%201%2C%20glutamine-hydrolyzing	annotator=Valeria%20Jimenez
Chr_01	446458	450048	ID=mRNA96	gene96	Name=wlab.232413.1_mRNA	proteinid=201	product=Monovalent%20Cation%3AProton%20Antiporter-2%20%28CPA2%29%20Family	annotator=Jian%20Guo
Chr_01	451881	452546	ID=mRNA97	gene97	Name=wlab.246995.1_mRNA	proteinid=203	annotator=automatic	
Chr_01	456791	458940	ID=mRNA98	gene98	Name=wlab.248721.1_mRNA	proteinid=205	annotator=automatic	
Chr_01	461536	462470	ID=mRNA99	gene99	Name=wlab.246490.1_mRNA	proteinid=207	annotator=automatic	
Chr_01	465764	468436	ID=mRNA100	gene100	Name=wlab.243035.1_mRNA	proteinid=209	product=Myb-type%20transcription%20factor	annotator=Jae-Hyeok%20Lee
Chr_01	470684	471115	ID=mRNA101	gene101	Name=wlab.248573.1_mRNA	proteinid=211	annotator=automatic	
Chr_01	471672	473600	ID=mRNA102	gene102	Name=wlab.246999.1_mRNA	proteinid=212	annotator=automatic	
Chr_01	477643	478947	ID=mRNA103	gene103	Name=wlab.247000.1_mRNA	proteinid=215	annotator=automatic	
Chr_01	481244	482807	ID=mRNA104	gene104	Name=wlab.3360.1_mRNA	proteinid=216	annotator=automatic	
Chr_01	484146	484829	ID=mRNA105	gene105	Name=wlab.247003.1_mRNA	proteinid=218	annotator=automatic	
Chr_01	489372	490436	ID=mRNA106	gene106	Name=wlab.243020.1_mRNA	proteinid=220	product=Nitrate%20high-affinity%20transporter%202.1%20-%20accessory%20protein	annotator=Valeria%20Jimenez
Chr_01	496233	497553	ID=mRNA107	gene107	Name=wlab.247004.1_mRNA	proteinid=223	product=Formate-Nitrite%20Transporter%20%28FNT%29	annotator=Valeria%20Jimenez
Chr_01	506828	508672	ID=mRNA108	gene108	Name=wlab.2158.1_mRNA	proteinid=225	product=Nitrate%20Transporter%202.2	annotator=Valeria%20Jimenez
Chr_01	517724	518467	ID=mRNA109	gene109	Name=wlab.133.1_mRNA	proteinid=228	annotator=automatic	
Chr_01	521724	524131	ID=mRNA110	gene110	Name=wlab.38980.1_mRNA	proteinid=230	annotator=automatic	
Chr_01	526275	528555	ID=mRNA111	gene111	Name=wlab.247007.1_mRNA	proteinid=232	product=Intraflagellar%20Transport%20Protein%2052	annotator=Valeria%20Jimenez
Chr_01	531090	533797	ID=mRNA112	gene112	Name=wlab.41.1_mRNA	proteinid=234	annotator=automatic	
Chr_01	536976	538949	ID=mRNA113	gene113	Name=wlab.230603.1_mRNA	proteinid=236	annotator=automatic	
Chr_01	540817	542627	ID=mRNA114	gene114	Name=wlab.230602.1_mRNA	proteinid=238	annotator=automatic	
Chr_01	542799	543546	ID=mRNA115	gene115	Name=wlab.247009.1_mRNA	proteinid=239	annotator=automatic	
Chr_01	545453	547466	ID=mRNA116	gene116	Name=wlab.247010.1_mRNA	proteinid=241	annotator=automatic	
Chr_01	548012	549385	ID=mRNA117	gene117	Name=wlab.2876.1_mRNA	proteinid=242	annotator=automatic	
Chr_01	551765	554690	ID=mRNA118	gene118	Name=wlab.232388.1_mRNA	proteinid=244	annotator=automatic	
Chr_01	555665	556977	ID=mRNA119	gene119	Name=wlab.129.1_mRNA	proteinid=245	annotator=automatic	
Chr_01	562380	562586	ID=mRNA120	gene120	Name=wlab.9971.1_mRNA	proteinid=247	annotator=automatic	
Chr_01	563888	565311	ID=mRNA121	gene121	Name=wlab.248717.1_mRNA	proteinid=249	annotator=automatic	
Chr_01	567160	567538	ID=mRNA122	gene122	Name=wlab.247013.1_mRNA	proteinid=251	annotator=automatic	
Chr_01	567960	572429	ID=mRNA123	gene123	Name=wlab.232384.1_mRNA	proteinid=252	annotator=automatic	
Chr_01	574907	575467	ID=mRNA124	gene124	Name=wlab.246497.1_mRNA	proteinid=254	annotator=automatic	
Chr_01	575925	576705	ID=mRNA125	gene125	Name=wlab.232547.1_mRNA	proteinid=255	product=Calmodulin	annotator=Valeria%20Jimenez
Chr_01	577610	580112	ID=mRNA126	gene126	Name=wlab.21949.1_mRNA	proteinid=256	annotator=automatic	
Chr_01	582834	584041	ID=mRNA127	gene127	Name=wlab.126.1_mRNA	proteinid=259	annotator=automatic	
Chr_01	585902	587452	ID=mRNA128	gene128	Name=wlab.232380.1_mRNA	proteinid=261	annotator=automatic	
Chr_01	590086	590356	ID=mRNA129	gene129	Name=wlab.246498.1_mRNA	proteinid=263	annotator=automatic	
Chr_01	590553	592452	ID=mRNA130	gene130	Name=wlab.247014.1_mRNA	proteinid=264	product=Rad51%20DNA%20recombinase%20homolog%203	annotator=Valeria%20Jimenez
Chr_01	594462	596287	ID=mRNA131	gene131	Name=wlab.232378.1_mRNA	proteinid=266	annotator=automatic	
Chr_01	604628	605842	ID=mRNA132	gene132	Name=wlab.242789.1_mRNA	proteinid=270	product=glutaredoxin%20related%20protein	annotator=Chang%20Jae%20Choi
Chr_01	611368	612634	ID=mRNA133	gene133	Name=wlab.232374.1_mRNA	proteinid=273	product=SPO11%20homolog%203%2FType%20II%20DNA%20topoisomerase%20VI%20subunit%20A	annotator=Valeria%20Jimenez
Chr_01	617672	620047	ID=mRNA134	gene134	Name=wlab.247018.1_mRNA	proteinid=277	annotator=automatic	
Chr_01	652714	653607	ID=mRNA135	gene135	Name=wlab.9903.1_mRNA	proteinid=283	product=protein%20required%20for%20cyt%20b6%20assembly	annotator=Charles%20Bachy
Chr_01	656366	659215	ID=mRNA136	gene136	Name=wlab.230742.1_mRNA	proteinid=285	annotator=automatic	
Chr_01	660956	661860	ID=mRNA137	gene137	Name=wlab.232366.1_mRNA	proteinid=287	annotator=automatic	
Chr_01	666586	669441	ID=mRNA138	gene138	Name=wlab.18887.1_mRNA	proteinid=290	annotator=automatic	
Chr_01	672517	675543	ID=mRNA139	gene139	Name=wlab.247024.1_mRNA	proteinid=293	product=Glutamine%20synthetase%20isoform%20GS%20III	annotator=Chang%20Jae%20Choi
Chr_01	682709	683536	ID=mRNA140	gene140	Name=wlab.3379.1_mRNA	proteinid=296	annotator=automatic	
Chr_01	684933	686629	ID=mRNA141	gene141	Name=wlab.247025.1_mRNA	proteinid=298	annotator=automatic	
Chr_01	690725	692953	ID=mRNA142	gene142	Name=wlab.17091.1_mRNA	proteinid=301	product=Cyclin%20Dependant%20Kinase%20C%20like	annotator=Valeria%20Jimenez
Chr_01	693362	694582	ID=mRNA143	gene143	Name=wlab.247027.1_mRNA	proteinid=302	annotator=automatic	
Chr_01	696791	698060	ID=mRNA144	gene144	Name=wlab.21974.1_mRNA	proteinid=304	annotator=automatic	
Chr_01	700917	703853	ID=mRNA145	gene145	Name=wlab.232356.1_mRNA	proteinid=307	annotator=automatic	
Chr_01	704548	707779	ID=mRNA146	gene146	Name=wlab.21992.1_mRNA	proteinid=308	product=Myb-type%20transcription%20factor	annotator=Jae-Hyeok%20Lee
Chr_01	712372	713916	ID=mRNA147	gene147	Name=wlab.247032.1_mRNA	proteinid=311	annotator=automatic	
Chr_01	717466	719842	ID=mRNA148	gene148	Name=wlab.242704.1_mRNA	proteinid=313	annotator=automatic	
Chr_01	720538	722490	ID=mRNA149	gene149	Name=wlab.247034.1_mRNA	proteinid=314	annotator=automatic	
Chr_01	725293	730047	ID=mRNA150	gene150	Name=wlab.247036.1_mRNA	proteinid=316	annotator=automatic	
Chr_01	732268	733658	ID=mRNA151	gene151	Name=wlab.242703.1_mRNA	proteinid=318	annotator=automatic	
Chr_01	738037	740108	ID=mRNA152	gene152	Name=wlab.247037.1_mRNA	proteinid=321	annotator=automatic	
Chr_01	742043	743130	ID=mRNA153	gene153	Name=wlab.246521.1_mRNA	proteinid=323	annotator=automatic	
Chr_01	743181	743510	ID=mRNA154	gene154	Name=wlab.247041.1_mRNA	proteinid=325	annotator=automatic	
Chr_01	746712	749628	ID=mRNA155	gene155	Name=wlab.230545.1_mRNA	proteinid=326	annotator=automatic	
Chr_01	752029	755009	ID=mRNA156	gene156	Name=wlab.247044.1_mRNA	proteinid=327	annotator=automatic	
Chr_01	760375	763331	ID=mRNA157	gene157	Name=wlab.247046.1_mRNA	proteinid=330	annotator=automatic	
Chr_01	766323	770119	ID=mRNA158	gene158	Name=wlab.247049.1_mRNA	proteinid=332	annotator=automatic	
Chr_01	773100	774493	ID=mRNA159	gene159	Name=wlab.246528.1_mRNA	proteinid=334	annotator=automatic	
Chr_01	780888	783824	ID=mRNA160	gene160	Name=wlab.232356.dup.1_mRNA	proteinid=336	annotator=automatic	
Chr_01	784519	787750	ID=mRNA161	gene161	Name=wlab.21992.dup.1_mRNA	proteinid=337	annotator=automatic	
Chr_01	792343	793887	ID=mRNA162	gene162	Name=wlab.247032.dup.1_mRNA	proteinid=340	annotator=automatic	
Chr_01	797437	799813	ID=mRNA163	gene163	Name=wlab.242704.dup.1_mRNA	proteinid=342	annotator=automatic	
Chr_01	800509	802461	ID=mRNA164	gene164	Name=wlab.247034.dup.1_mRNA	proteinid=343	annotator=automatic	
Chr_01	805264	810018	ID=mRNA165	gene165	Name=wlab.247036.dup.1_mRNA	proteinid=345	annotator=automatic	
Chr_01	812239	813629	ID=mRNA166	gene166	Name=wlab.242703.dup.1_mRNA	proteinid=347	annotator=automatic	
Chr_01	818008	820079	ID=mRNA167	gene167	Name=wlab.247037.dup.1_mRNA	proteinid=350	annotator=automatic	
Chr_01	822014	823101	ID=mRNA168	gene168	Name=wlab.246521.dup.1_mRNA	proteinid=352	annotator=automatic	
Chr_01	823152	823481	ID=mRNA169	gene169	Name=wlab.247041.dup.1_mRNA	proteinid=354	annotator=automatic	
Chr_01	826683	829599	ID=mRNA170	gene170	Name=wlab.230545.dup.1_mRNA	proteinid=355	annotator=automatic	
Chr_01	832000	834980	ID=mRNA171	gene171	Name=wlab.247044.dup.1_mRNA	proteinid=356	annotator=automatic	
Chr_01	840346	843302	ID=mRNA172	gene172	Name=wlab.247046.dup.1_mRNA	proteinid=359	annotator=automatic	
Chr_01	846294	850090	ID=mRNA173	gene173	Name=wlab.247049.dup.1_mRNA	proteinid=361	annotator=automatic	
Chr_01	853071	854464	ID=mRNA174	gene174	Name=wlab.246528.dup.1_mRNA	proteinid=363	annotator=automatic	
Chr_01	860190	861332	ID=mRNA175	gene175	Name=wlab.3410.1_mRNA	proteinid=365	annotator=automatic	
Chr_01	863404	863693	ID=mRNA176	gene176	Name=wlab.247050.1_mRNA	proteinid=367	annotator=automatic	
Chr_01	866318	868368	ID=mRNA177	gene177	Name=wlab.247051.1_mRNA	proteinid=369	annotator=automatic	
Chr_01	869506	871416	ID=mRNA178	gene178	Name=wlab.232343.1_mRNA	proteinid=371	annotator=automatic	
Chr_01	872189	873692	ID=mRNA179	gene179	Name=wlab.49.1_mRNA	proteinid=373	product=3-oxoacyl-%5Bacyl-carrier%20protein%5D%20reductase%20%5BEC%3A1.1.1.100%5D	annotator=Magdalena%20Gutowska
Chr_01	876740	879526	ID=mRNA180	gene180	Name=wlab.232340.1_mRNA	proteinid=374	annotator=automatic	
Chr_01	882805	883688	ID=mRNA181	gene181	Name=wlab.242539.1_mRNA	proteinid=376	annotator=automatic	
Chr_01	888424	892814	ID=mRNA182	gene182	Name=wlab.242463.1_mRNA	proteinid=378	annotator=automatic	
Chr_01	898678	902358	ID=mRNA183	gene183	Name=wlab.248574.1_mRNA	proteinid=381	annotator=automatic	
Chr_01	903521	904023	ID=mRNA184	gene184	Name=wlab.247057.1_mRNA	proteinid=383	annotator=automatic	
Chr_01	904430	905898	ID=mRNA185	gene185	Name=wlab.247058.1_mRNA	proteinid=384	annotator=automatic	
Chr_01	908387	911099	ID=mRNA186	gene186	Name=wlab.230514.1_mRNA	proteinid=387	annotator=automatic	
Chr_01	916364	918136	ID=mRNA187	gene187	Name=wlab.232565.1_mRNA	proteinid=390	annotator=automatic	
Chr_01	920499	922546	ID=mRNA188	gene188	Name=wlab.232329.1_mRNA	proteinid=392	annotator=automatic	
Chr_01	923569	924720	ID=mRNA189	gene189	Name=wlab.247062.1_mRNA	proteinid=394	annotator=automatic	
Chr_01	926484	929624	ID=mRNA190	gene190	Name=wlab.232328.1_mRNA	proteinid=396	annotator=automatic	
Chr_01	930272	932602	ID=mRNA191	gene191	Name=wlab.22029.1_mRNA	proteinid=398	annotator=automatic	
Chr_01	935807	940559	ID=mRNA192	gene192	Name=wlab.247066.1_mRNA	proteinid=400	annotator=automatic	
Chr_01	948855	952591	ID=mRNA193	gene193	Name=wlab.247068.1_mRNA	proteinid=403	annotator=automatic	
Chr_01	955015	956258	ID=mRNA194	gene194	Name=wlab.16.1_mRNA	proteinid=405	annotator=automatic	
Chr_01	957772	958380	ID=mRNA195	gene195	Name=AZW_est_orfs.Chr_01_1353_3199708:1_mRNA	proteinid=10647	annotator=Alexandra%20Worden	
Chr_01	959724	961796	ID=mRNA196	gene196	Name=wlab.242383.1_mRNA	proteinid=407	annotator=automatic	
Chr_01	965152	966692	ID=mRNA197	gene197	Name=wlab.3426.1_mRNA	proteinid=409	annotator=automatic	
Chr_01	968893	969265	ID=mRNA198	gene198	Name=wlab.246563.1_mRNA	proteinid=411	annotator=automatic	
Chr_01	969504	973089	ID=mRNA199	gene199	Name=wlab.232317.1_mRNA	proteinid=412	annotator=automatic	
Chr_01	977185	979132	ID=mRNA200	gene200	Name=wlab.242382.1_mRNA	proteinid=414	product=Delta-aminolevulinic%20acid%20dehydratase%20%28Porphobilinogen%20synthase%29%20%28ALADH%29	annotator=Charles%20Bachy
Chr_01	981345	982297	ID=mRNA201	gene201	Name=wlab.232316.1_mRNA	proteinid=416	annotator=automatic	
Chr_01	986039	986822	ID=mRNA202	gene202	Name=est_orfs.Chr_01_1366_3199038:1_mRNA	proteinid=10659	annotator=Alexandra%20Worden	
Chr_01	987238	988354	ID=mRNA203	gene203	Name=wlab.232315.1_mRNA	proteinid=418	annotator=automatic	
Chr_01	991888	992682	ID=mRNA204	gene204	Name=wlab.3430.1_mRNA	proteinid=420	annotator=automatic	
Chr_01	995488	996668	ID=mRNA205	gene205	Name=wlab.247071.1_mRNA	proteinid=422	annotator=automatic	
Chr_01	996771	998400	ID=mRNA206	gene206	Name=wlab.248719.1_mRNA	proteinid=423	annotator=automatic	
Chr_01	1005498	1006988	ID=mRNA207	gene207	Name=wlab.2896.1_mRNA	proteinid=427	annotator=automatic	
Chr_01	1010452	1012452	ID=mRNA208	gene208	Name=wlab.247076.1_mRNA	proteinid=428	annotator=automatic	
Chr_01	1019005	1020392	ID=mRNA209	gene209	Name=wlab.242189.1_mRNA	proteinid=430	annotator=automatic	
Chr_01	1021900	1022729	ID=mRNA210	gene210	Name=wlab.232548.1_mRNA	proteinid=431	annotator=automatic	
Chr_01	1028931	1030978	ID=mRNA211	gene211	Name=wlab.247079.1_mRNA	proteinid=435	annotator=automatic	
Chr_01	1033904	1036039	ID=mRNA212	gene212	Name=wlab.247080.1_mRNA	proteinid=437	annotator=automatic	
Chr_01	1036865	1038166	ID=mRNA213	gene213	Name=wlab.232301.1_mRNA	proteinid=439	product=ATP-binding%20Cassette%20%28ABC%29%20Superfamily	annotator=Jian%20Guo
Chr_01	1038875	1039634	ID=mRNA214	gene214	Name=wlab.242141.1_mRNA	proteinid=440	annotator=automatic	
Chr_01	1042524	1045289	ID=mRNA215	gene215	Name=wlab.247082.1_mRNA	proteinid=442	product=hexose%20phosphate	annotator=Jian%20Guo
Chr_01	1047481	1048326	ID=mRNA216	gene216	Name=wlab.247084.1_mRNA	proteinid=444	annotator=automatic	
Chr_01	1050905	1054299	ID=mRNA217	gene217	Name=wlab.10422.1_mRNA	proteinid=446	annotator=automatic	
Chr_01	1057945	1059376	ID=mRNA218	gene218	Name=wlab.247086.1_mRNA	proteinid=448	product=AP2-like%20transcription%20factor	annotator=Jae-Hyeok%20Lee
Chr_01	1065156	1066625	ID=mRNA219	gene219	Name=wlab.2708.1_mRNA	proteinid=451	annotator=automatic	
Chr_01	1070693	1073459	ID=mRNA220	gene220	Name=wlab.247088.1_mRNA	proteinid=453	annotator=automatic	
