Gene ID	Worden ID	EC#	HMMER	eCAMI	DIAMOND	Signalp	#ofTools
jgi|MicpuN3v2|3885|wlab.23565.1	wlab.23565	N	CE11(523-639)	CE11	CE11	Y(1-43)	3
jgi|MicpuN3v2|4010|wlab.247646.1	wlab.247646	2.4.1.258	GT58(30-396)	GT58	GT58	N	3
jgi|MicpuN3v2|4175|wlab.5140.1	wlab.5140	N	GH16_3(230-493)	GH16	GH16	N	3
jgi|MicpuN3v2|4235|wlab.5160.1	wlab.5160	N	CBM20(114-195)	CBM20	CBM20	Y(1-21)	3
jgi|MicpuN3v2|4246|wlab.235669.1	wlab.235669	N	CBM20(113-195)	CBM20	CBM20	N	3
jgi|MicpuN3v2|4277|wlab.235643.1	wlab.235643	3.2.1.1|3.2.1.98	GH13_6(715-999)	GH13	GH13_6	N	3
jgi|MicpuN3v2|4341|wlab.235598.1	wlab.235598	2.4.2.-	GT95(151-453)	GT95	GT95	N	3
jgi|MicpuN3v2|4533|wlab.235452.1	wlab.235452	N	CBM45(102-176)+CBM45(422-503)	CBM45	CBM45	N	3
jgi|MicpuN3v2|4672|wlab.235351.1	wlab.235351	N	GT64(101-344)	GT64	GT64	N	3
jgi|MicpuN3v2|467|wlab.241686.1	wlab.241686	2.4.1.46	GT28(324-477)	GT28	GT28	N	3
jgi|MicpuN3v2|4706|wlab.235326.1	wlab.235326	2.4.1.21|2.4.1.242	GT5(184-708)	GT5	GT5	N	3
jgi|MicpuN3v2|4708|wlab.245150.1	wlab.245150	2.4.1.21	CBM53(456-535)+CBM53(605-695)+CBM53(768-860)+GT5(871-1323)	CBM53+GT5	CBM53+GT5	N	3
jgi|MicpuN3v2|5072|wlab.236140.1	wlab.236140	3.2.1.41|3.2.1.68|3.2.1.1	GH13_13(550-947)	CBM48+GH13+CBM41	CBM48+GH13_13	N	3
jgi|MicpuN3v2|5304|wlab.235974.1	wlab.235974	2.4.1.21|2.4.1.242	GT5(53-538)	GT5	GT5	N	3
jgi|MicpuN3v2|534|wlab.232594.1	wlab.232594	2.4.1.-	GT24(1397-1644)	GT24	GT24	N	3
jgi|MicpuN3v2|5420|wlab.235885.1	wlab.235885	N	GT95(269-546)	GT95	GT95	Y(1-35)	3
jgi|MicpuN3v2|5484|wlab.235839.1	wlab.235839	2.4.1.15	GT20(38-551)	GT20	GT20	N	3
jgi|MicpuN3v2|5497|wlab.235828.1	wlab.235828	N	GT51(210-370)	GT51	GT51	N	3
jgi|MicpuN3v2|5657|wlab.235706.1	wlab.235706	3.2.1.113	GH47(102-574)	GH47	GH47	N	3
jgi|MicpuN3v2|5701|wlab.245492.1	wlab.245492	2.4.1.21	CBM53(1112-1207)+CBM53(1280-1381)+GT5(1393-1836)	GT5+CBM53	CBM53+GT5	N	3
jgi|MicpuN3v2|6005|wlab.236409.1	wlab.236409	N	GH31(400-880)	GH31	GH31	N	3
jgi|MicpuN3v2|6018|wlab.236400.1	wlab.236400	2.4.1.18	GH13_8(387-684)	CBM48+GH13	CBM48+GH13_8	N	3
jgi|MicpuN3v2|6126|wlab.236321.1	wlab.236321	N	GT77(221-528)	GT77	GT77	N	3
jgi|MicpuN3v2|615|wlab.244024.1	wlab.244024	N	GH31(431-879)	GH31	GH31	N	3
jgi|MicpuN3v2|6198|wlab.231531.1	wlab.231531	3.2.1.84|3.2.1.20	GH31(432-874)	GH31	GH31	N	3
jgi|MicpuN3v2|6523|wlab.248617.1	wlab.248617	N	GT77(195-481)	GT77	GT77	Y(1-42)	3
jgi|MicpuN3v2|6696|wlab.248106.1	wlab.248106	N	CBM45(150-231)+CBM45(433-517)+GH13_6(932-1217)	GH13+CBM45	GH13_6	N	3
jgi|MicpuN3v2|6886|wlab.236683.1	wlab.236683	N	CBM20(62-151)	CBM20	CBM20	N	3
jgi|MicpuN3v2|6938|wlab.237534.1	wlab.237534	N	GT77(135-377)	GT77	GT77	Y(1-26)	3
jgi|MicpuN3v2|7322|wlab.24998.1	wlab.24998	2.4.1.-	GT2(188-421)	GT2	GT2	N	3
jgi|MicpuN3v2|7519|wlab.237989.1	wlab.237989	2.4.2.-	GT77(197-465)	GT77	GT77	N	3
jgi|MicpuN3v2|7570|wlab.25097.1	wlab.25097	2.4.1.18	GH13_8(297-598)	CBM48+GH13	CBM48+GH13_8	N	3
jgi|MicpuN3v2|7683|wlab.237863.1	wlab.237863	2.4.1.21|2.4.1.242	GT5(361-717)	GT5	GT5	N	3
jgi|MicpuN3v2|7739|wlab.248167.1	wlab.248167	N	GH31(507-906)	GH31	GH31	N	3
jgi|MicpuN3v2|7784|wlab.237790.1	wlab.237790	2.4.1.1	GT35(291-1005)	GT35	GT35	N	3
jgi|MicpuN3v2|7787|wlab.6814.1	wlab.6814	3.2.1.24|3.2.1.113|3.2.1.114	GH38(95-421)	GH38	GH38	N	3
jgi|MicpuN3v2|7814|wlab.248180.1	wlab.248180	N	GT96(60-376)	GT96	GT96	Y(1-20)	3
jgi|MicpuN3v2|8026|wlab.237597.1	wlab.237597	3.2.1.113	GH47(265-699)	GH47	GH47	N	3
jgi|MicpuN3v2|8028|wlab.248216.1	wlab.248216	3.2.1.-	CBM20(182-266)+GH13_20(351-650)	GH13	CBM20+GH13	Y(1-26)	3
jgi|MicpuN3v2|8248|wlab.238184.1	wlab.238184	2.4.1.25	CBM20(8-85)+GH77(403-1137)	CBM20+GH77	CBM20+GH77	N	3
jgi|MicpuN3v2|8402|wlab.238071.1	wlab.238071	2.4.1.1	GT35(447-1164)	GT35	GT35	N	3
jgi|MicpuN3v2|8408|wlab.238064.1	wlab.238064	2.4.1.80	GT21(85-316)	GT0	GT0	N	3
jgi|MicpuN3v2|8539|wlab.248281.1	wlab.248281	2.4.1.1	GT35(145-906)	GT35	GT35	N	3
jgi|MicpuN3v2|8685|wlab.238523.1	wlab.238523	3.2.1.68|3.2.1.-|2.4.1.25	GH13_11(308-692)	CBM48+GH13	CBM48+GH13_11	N	3
jgi|MicpuN3v2|8968|wlab.238732.1	wlab.238732	2.4.1.260	GT22(12-453)	GT22	GT22	N	3
jgi|MicpuN3v2|9095|wlab.29444.1	wlab.29444	N	GT76(7-445)	GT76	GT76	N	3
jgi|MicpuN3v2|9110|wlab.25771.1	wlab.25771	3.2.1.60|3.2.1.1|3.2.1.98	GH13_6(338-634)	GH13+CBM20	GH13_6	N	3
jgi|MicpuN3v2|911|wlab.233230.1	wlab.233230	2.4.1.255	GT41(555-1138)	GT41	GT41	N	3
jgi|MicpuN3v2|9248|wlab.238953.1	wlab.238953	2.4.1.101	GT13(320-673)	GT13	GT13	N	3
jgi|MicpuN3v2|9319|wlab.239004.1	wlab.239004	N	GT4(321-451)	GT4	GT4	N	3
jgi|MicpuN3v2|9522|wlab.239174.1	wlab.239174	2.4.1.21|2.4.1.242	GT5(423-908)	GT5	GT5	N	3
jgi|MicpuN3v2|9656|wlab.248449.1	wlab.248449	2.4.1.21	CBM53(785-883)+CBM53(957-1045)+GT5(1063-1513)	CBM53+GT5	GT5	N	3
jgi|MicpuN3v2|9696|wlab.239285.1	wlab.239285	3.2.1.1|3.2.1.41|2.4.1.25|3.2.1.33|3.2.1.54|3.2.1.135	GH13_20(148-475)	CBM34+GH13	GH13_20	N	3
jgi|MicpuN3v2|9740|wlab.239315.1	wlab.239315	2.4.1.-|2.4.1.142	GT33(70-456)	GT33	GT33	N	3
jgi|MicpuN3v2|9777|wlab.239342.1	wlab.239342	3.2.1.68|3.2.1.-|2.4.1.25	GH13_11(329-688)	CBM48+GH13	CBM48+GH13_11	Y(1-30)	3
jgi|MicpuN3v2|9988|wlab.14804.1	wlab4804	2.4.1.-	GT57(27-546)	GT57	GT57	N	3
jgi|MicpuN3v2|10197|wlab.232081.1	wlab.232081	N	GT25(107-294)	N	GT25	N	2
jgi|MicpuN3v2|10215|wlab.246398.1	wlab.246398	N	GT10(108-303)	N	GT0	Y(1-35)	2
jgi|MicpuN3v2|10248|wlab.239698.1	wlab.239698	N	GT25(78-280)	N	GT25	N	2
jgi|MicpuN3v2|119|wlab.246967.1	wlab.246967	N	GT60(53-359)	N	GT60	N	2
jgi|MicpuN3v2|127|wlab.246971.1	wlab.246971	N	GH13_11(468-845)	N	CBM48+GH13	N	2
jgi|MicpuN3v2|1507|wlab.232839.1	wlab.232839	N	GT32(223-303)	N	GT32	N	2
jgi|MicpuN3v2|1813|wlab.233952.1	wlab.233952	N	GT7(269-422)	N	GT7	N	2
jgi|MicpuN3v2|2144|wlab.233719.1	wlab.233719	N	GT2(4-112)	N	GT2	N	2
jgi|MicpuN3v2|2196|wlab.233678.1	wlab.233678	N	GT22(21-428)	N	GT22	N	2
jgi|MicpuN3v2|2240|wlab.233644.1	wlab.233644	N	GH171(67-342)	N	GH171	N	2
jgi|MicpuN3v2|2262|wlab.8181.1	wlab.8181	N	GT60(302-732)	N	GT60	N	2
jgi|MicpuN3v2|2284|wlab.233616.1	wlab.233616	N	GT77(233-478)	N	GT77	N	2
jgi|MicpuN3v2|2328|wlab.233583.1	wlab.233583	N	GT77(162-389)	N	GT77	N	2
jgi|MicpuN3v2|2401|wlab.4312.1	wlab.4312	N	GT2(35-156)	N	GT2	N	2
jgi|MicpuN3v2|2743|wlab.248624.1	wlab.248624	N	GT95(284-556)	N	GT95	N	2
jgi|MicpuN3v2|2767|wlab.234524.1	wlab.234524	N	GH146(187-806)	N	GH146	N	2
jgi|MicpuN3v2|2790|wlab.234505.1	wlab.234505	N	GT47(415-838)	N	GT47	Y(1-31)	2
jgi|MicpuN3v2|2880|wlab.244977.1	wlab.244977	N	CBM20(825-906)	N	CBM20	N	2
jgi|MicpuN3v2|369|wlab.247051.1	wlab.247051	N	GT50(142-437)	N	GT50	N	2
jgi|MicpuN3v2|3782|wlab.234915.1	wlab.234915	N	GT47(226-564)	N	GT47	Y(1-26)	2
jgi|MicpuN3v2|3946|wlab.234798.1	wlab.234798	N	GH103(123-431)	N	GH103	N	2
jgi|MicpuN3v2|3981|wlab.247641.1	wlab.247641	N	GH3(65-302)	N	GH3	N	2
jgi|MicpuN3v2|3983|wlab.234769.1	wlab.234769	N	GH37(28-438)	N	GH37	N	2
jgi|MicpuN3v2|4044|wlab.234727.1	wlab.234727	N	GT95(359-658)	N	GT95	Y(1-27)	2
jgi|MicpuN3v2|4077|wlab.234701.1	wlab.234701	N	GT4(903-1068)	N	GT4	N	2
jgi|MicpuN3v2|4478|wlab.235498.1	wlab.235498	N	CBM20(289-384)	N	CBM20	N	2
jgi|MicpuN3v2|4637|wlab.245160.1	wlab.245160	N	GH13_20(316-598)	N	CBM20+GH13	N	2
jgi|MicpuN3v2|46|wlab.232501.1	wlab.232501	N	GT47(281-602)	N	GT47	N	2
jgi|MicpuN3v2|4748|wlab.235292.1	wlab.235292	N	GT32(97-175)	N	GT32	Y(1-25)	2
jgi|MicpuN3v2|4939|wlab.24027.1	wlab.24027	N	GH5_7(189-414)	N	GH5_7	Y(1-26)	2
jgi|MicpuN3v2|501|wlab.247117.1	wlab.247117	N	GT2(552-736)	N	GT2	N	2
jgi|MicpuN3v2|5634|wlab.24269.1	wlab.24269	N	GH13_10(708-889)	N	GH13	N	2
jgi|MicpuN3v2|5726|wlab.236600.1	wlab.236600	N	GT77(208-428)+GT77(596-821)	N	GT77	N	2
jgi|MicpuN3v2|5739|wlab.236593.1	wlab.236593	N	CBM20(291-377)	N	CBM20	N	2
jgi|MicpuN3v2|5896|wlab.236485.1	wlab.236485	N	GT77(551-797)	N	GT77	N	2
jgi|MicpuN3v2|641|wlab.247179.1	wlab.247179	N	GT13(154-461)	N	GT13	N	2
jgi|MicpuN3v2|6560|wlab.236928.1	wlab.236928	N	CBM43(216-298)	N	CBM43	N	2
jgi|MicpuN3v2|6857|wlab.24763.1	wlab.24763	N	GT2(249-338)	N	GT2	N	2
jgi|MicpuN3v2|720|wlab.239760.1	wlab.239760	N	GT71(221-454)	N	GT71	N	2
jgi|MicpuN3v2|7442|wlab.8715.1	wlab.8715	N	GH5_24(132-400)	N	GH5	N	2
jgi|MicpuN3v2|7558|wlab.246049.1	wlab.246049	N	CBM20(58-145)+CBM20(170-258)	N	CBM20	N	2
jgi|MicpuN3v2|7828|wlab.6830.1	wlab.6830	N	GH38(130-378)	N	GH38	Y(1-23)	2
jgi|MicpuN3v2|7905|wlab.237694.1	wlab.237694	N	GH14(46-300)	N	GH14	N	2
jgi|MicpuN3v2|8469|wlab.248273.1	wlab.248273	N	GT28(270-446)	N	GT28	N	2
jgi|MicpuN3v2|8481|wlab.238376.1	wlab.238376	N	GT10(152-460)	N	GT10	N	2
jgi|MicpuN3v2|9283|wlab.238978.1	wlab.238978	N	GT90(276-550)	N	GT0	N	2
jgi|MicpuN3v2|9320|wlab.7502.1	wlab.7502	N	GT7(63-243)	N	GT7	Y(1-30)	2
jgi|MicpuN3v2|9557|wlab.239200.1	wlab.239200	N	GT10(299-497)	N	GT0	N	2
jgi|MicpuN3v2|9698|wlab.248460.1	wlab.248460	N	GH18(46-328)	N	GH18	Y(1-30)	2
jgi|MicpuN3v2|9990|wlab.26144.1	wlab.26144	2.4.1.-	GT57(19-264)	GT57	N	N	2
jgi|MicpuN3v2|1205|wlab.233027.1	wlab.233027	N	N	GT4	GT4	Y(1-28)	2
jgi|MicpuN3v2|1517|wlab.232831.1	wlab.232831	N	N	CBM48	CBM48	N	2
jgi|MicpuN3v2|2198|wlab.4229.1	wlab.4229	N	N	GT4	GT4	N	2
jgi|MicpuN3v2|3161|wlab.234228.1	wlab.234228	N	N	CBM45	CBM45	N	2
jgi|MicpuN3v2|3968|wlab.234781.1	wlab.234781	N	N	CBM20	CBM20	N	2
jgi|MicpuN3v2|5337|wlab.235948.1	wlab.235948	2.4.1.241	N	GT4	GT4	N	2
jgi|MicpuN3v2|5754|wlab.236583.1	wlab.236583	3.2.1.22	N	GH36	GH36	N	2
jgi|MicpuN3v2|649|wlab.240019.1	wlab.240019	N	N	CBM48	CBM48	N	2
jgi|MicpuN3v2|7198|wlab.237343.1	wlab.237343	N	N	GT0	GT4	N	2
jgi|MicpuN3v2|7927|wlab.237674.1	wlab.237674	N	N	GT34	GT34	N	2
jgi|MicpuN3v2|8176|wlab.238241.1	wlab.238241	2.4.1.241	N	GT4	GT4	N	2
jgi|MicpuN3v2|824|wlab.22281.1	wlab.22281	N	N	GT0	GT0	Y(1-43)	2
jgi|MicpuN3v2|8376|wlab.238093.1	wlab.238093	N	N	CBM45	CBM45	N	2
jgi|MicpuN3v2|1680|wlab.232717.1	wlab.232717	N	AA7(491-693)	N	N	N	1
jgi|MicpuN3v2|1872|wlab.233912.1	wlab.233912	N	CE1(21-271)	N	N	N	1
jgi|MicpuN3v2|1949|wlab.233863.1	wlab.233863	N	AA7(48-519)	N	N	N	1
jgi|MicpuN3v2|2064|wlab.4167.1	wlab.4167	N	GT5(58-311)	N	N	N	1
jgi|MicpuN3v2|2205|wlab.233672.1	wlab.233672	N	CBM20(687-766)	N	N	N	1
jgi|MicpuN3v2|2361|wlab.233555.1	wlab.233555	N	CE1(671-906)	N	N	Y(1-34)	1
jgi|MicpuN3v2|2391|wlab.22933.1	wlab.22933	N	CE14(58-168)	N	N	N	1
jgi|MicpuN3v2|2815|wlab.234486.1	wlab.234486	N	CE1(132-263)	N	N	N	1
jgi|MicpuN3v2|2909|wlab.247546.1	wlab.247546	N	PL8(630-924)	N	N	N	1
jgi|MicpuN3v2|311|wlab.247032.1	wlab.247032	N	GT34(224-380)	N	N	N	1
jgi|MicpuN3v2|340|wlab.247032.dup.1	wlab.247032.dup	N	GT34(224-380)	N	N	N	1
jgi|MicpuN3v2|3474|wlab.234012.1	wlab.234012	N	AA2(116-341)	N	N	N	1
jgi|MicpuN3v2|4156|wlab.234659.1	wlab.234659	N	GT90(301-460)	N	N	N	1
jgi|MicpuN3v2|5860|wlab.247994.1	wlab.247994	N	GT4(233-357)	N	N	N	1
jgi|MicpuN3v2|6038|wlab.248018.1	wlab.248018	N	GT90(371-552)	N	N	N	1
jgi|MicpuN3v2|7251|wlab.237306.1	wlab.237306	N	AA2(25-259)	N	N	N	1
jgi|MicpuN3v2|7466|wlab.238024.1	wlab.238024	N	AA6(4-198)	N	N	N	1
jgi|MicpuN3v2|7553|wlab.18022.1	wlab8022	N	AA2(104-353)	N	N	N	1
jgi|MicpuN3v2|7947|wlab.238043.1	wlab.238043	N	AA12(42-447)	N	N	Y(1-34)	1
jgi|MicpuN3v2|8418|wlab.7037.1	wlab.7037	N	CE1(51-253)	N	N	Y(1-21)	1
jgi|MicpuN3v2|8497|wlab.238385.1	wlab.238385	N	AA2(55-221)	N	N	N	1
jgi|MicpuN3v2|9770|wlab.29692.1	wlab.29692	N	GT7(58-309)	N	N	N	1
jgi|MicpuN3v2|10114|wlab.239603.1	wlab.239603	N	N	CBM45	N	Y(1-18)	1
jgi|MicpuN3v2|10200|wlab.239666.1	wlab.239666	N	N	CBM50	N	N	1
jgi|MicpuN3v2|1174|wlab.233051.1	wlab.233051	N	N	GH23	N	N	1
jgi|MicpuN3v2|1183|wlab.233045.1	wlab.233045	3.2.1.4	N	CBM81	N	N	1
jgi|MicpuN3v2|1592|wlab.232782.1	wlab.232782	N	N	CBM50	N	N	1
jgi|MicpuN3v2|1743|wlab.232668.1	wlab.232668	N	N	CBM2	N	N	1
jgi|MicpuN3v2|1778|wlab.232644.1	wlab.232644	N	N	CBM50	N	N	1
jgi|MicpuN3v2|1842|wlab.244781.1	wlab.244781	N	N	GH128	N	N	1
jgi|MicpuN3v2|1844|wlab.233925.1	wlab.233925	3.2.1.4	N	CBM81	N	Y(1-24)	1
jgi|MicpuN3v2|1852|wlab.233922.1	wlab.233922	N	N	CBM50	N	N	1
jgi|MicpuN3v2|1874|wlab.233911.1	wlab.233911	N	N	GH23	N	N	1
jgi|MicpuN3v2|2142|wlab.244603.1	wlab.244603	N	N	CBM50	N	N	1
jgi|MicpuN3v2|2594|wlab.233378.1	wlab.233378	N	N	AA5	N	N	1
jgi|MicpuN3v2|2613|wlab.233979.1	wlab.233979	N	N	CBM50	N	N	1
jgi|MicpuN3v2|2750|wlab.244989.1	wlab.244989	N	N	PL3	N	N	1
jgi|MicpuN3v2|3023|wlab.234331.1	wlab.234331	N	N	CBM50	N	N	1
jgi|MicpuN3v2|3031|wlab.234322.1	wlab.234322	N	N	GH23	N	Y(1-26)	1
jgi|MicpuN3v2|3129|wlab.23254.1	wlab.23254	N	N	GT0	N	N	1
jgi|MicpuN3v2|3400|wlab.4790.1	wlab.4790	N	N	CBM2	N	N	1
jgi|MicpuN3v2|3421|wlab.234052.1	wlab.234052	N	N	GT1	N	N	1
jgi|MicpuN3v2|3614|wlab.245106.1	wlab.245106	N	N	GH23	N	N	1
jgi|MicpuN3v2|3834|wlab.234881.1	wlab.234881	N	N	GH23	N	N	1
jgi|MicpuN3v2|4361|wlab.247756.1	wlab.247756	N	N	GH23	N	N	1
jgi|MicpuN3v2|4460|wlab.235513.1	wlab.235513	N	N	AA15	N	N	1
jgi|MicpuN3v2|4508|wlab.235472.1	wlab.235472	N	N	CBM50	N	N	1
jgi|MicpuN3v2|4590|wlab.247794.1	wlab.247794	N	N	GH23	N	N	1
jgi|MicpuN3v2|4609|wlab.248592.1	wlab.248592	N	N	CBM50	N	N	1
jgi|MicpuN3v2|4616|wlab.235393.1	wlab.235393	N	N	CBM43	N	N	1
jgi|MicpuN3v2|4742|wlab.235296.1	wlab.235296	3.2.1.4	N	CBM81	N	N	1
jgi|MicpuN3v2|4966|wlab.236221.1	wlab.236221	3.2.1.4|3.2.1.91	N	CBM5	N	N	1
jgi|MicpuN3v2|5150|wlab.236077.1	wlab.236077	N	N	CBM50	N	N	1
jgi|MicpuN3v2|5171|wlab.247899.1	wlab.247899	N	N	AA15	N	Y(1-32)	1
jgi|MicpuN3v2|5194|wlab.247903.1	wlab.247903	N	N	GH23	N	N	1
jgi|MicpuN3v2|5590|wlab.5819.1	wlab.5819	N	N	CBM2	N	N	1
jgi|MicpuN3v2|5784|wlab.247984.1	wlab.247984	N	N	CE3	N	N	1
jgi|MicpuN3v2|5792|wlab.245484.1	wlab.245484	N	N	CBM50	N	N	1
jgi|MicpuN3v2|5971|wlab.24405.1	wlab.24405	N	N	CBM50	N	N	1
jgi|MicpuN3v2|6418|wlab.245538.1	wlab.245538	N	N	CBM50	N	N	1
jgi|MicpuN3v2|6462|wlab.236995.1	wlab.236995	N	N	GH128	N	N	1
jgi|MicpuN3v2|6607|wlab.245516.1	wlab.245516	N	N	GH23	N	Y(1-19)	1
jgi|MicpuN3v2|6687|wlab.20854.1	wlab.20854	3.2.1.4|3.2.1.91	N	CBM5	N	N	1
jgi|MicpuN3v2|6960|wlab.237517.1	wlab.237517	N	N	GH128	N	Y(1-26)	1
jgi|MicpuN3v2|7039|wlab.245790.1	wlab.245790	N	N	CBM50	N	N	1
jgi|MicpuN3v2|7222|wlab.24941.1	wlab.24941	N	N	CBM50	N	N	1
jgi|MicpuN3v2|7460|wlab.238030.1	wlab.238030	N	N	CBM50	N	N	1
jgi|MicpuN3v2|7645|wlab.6747.1	wlab.6747	N	N	CBM50	N	N	1
jgi|MicpuN3v2|7767|wlab.237800.1	wlab.237800	N	N	GH23	N	N	1
jgi|MicpuN3v2|7979|wlab.237636.1	wlab.237636	2.4.1.-	N	CBM18	N	N	1
jgi|MicpuN3v2|8315|wlab.238136.1	wlab.238136	N	N	CBM50	N	N	1
jgi|MicpuN3v2|838|wlab.233282.1	wlab.233282	N	N	CBM50	N	N	1
jgi|MicpuN3v2|8465|wlab.7006.1	wlab.7006	N	N	CBM73	N	N	1
jgi|MicpuN3v2|8470|wlab.248274.1	wlab.248274	N	N	GH128	N	N	1
jgi|MicpuN3v2|871|wlab.247231.1	wlab.247231	N	N	CE11	N	Y(1-55)	1
jgi|MicpuN3v2|926|wlab.233219.1	wlab.233219	N	N	CBM54	N	N	1
jgi|MicpuN3v2|9401|wlab.239068.1	wlab.239068	N	N	GT4	N	Y(1-19)	1
jgi|MicpuN3v2|9436|wlab.246289.1	wlab.246289	N	N	CBM2	N	N	1
jgi|MicpuN3v2|9453|wlab.239108.1	wlab.239108	N	N	CBM2	N	N	1
jgi|MicpuN3v2|9469|wlab.7567.1	wlab.7567	N	N	GH23	N	N	1
jgi|MicpuN3v2|9475|wlab.7571.1	wlab.7571	N	N	CBM50	N	N	1
jgi|MicpuN3v2|9667|wlab.248453.1	wlab.248453	N	N	GH23	N	N	1
jgi|MicpuN3v2|9721|wlab.239304.1	wlab.239304	N	N	GH23	N	N	1
jgi|MicpuN3v2|9893|wlab.239436.1	wlab.239436	N	N	GH23	N	N	1
jgi|MicpuN3v2|995|wlab.1265.1	wlab265	N	N	CBM13	N	Y(1-25)	1
jgi|MicpuN3v2|10065|wlab.246351.1	wlab.246351	N	N	N	GT2	N	1
jgi|MicpuN3v2|10128|wlab.26211.1	wlab.26211	N	N	N	CBM18	N	1
jgi|MicpuN3v2|1146|wlab.22554.1	wlab.22554	N	N	N	PL3_2	N	1
jgi|MicpuN3v2|1149|wlab.233073.1	wlab.233073	N	N	N	GH28	Y(1-21)	1
jgi|MicpuN3v2|1209|wlab.233028.1	wlab.233028	N	N	N	GT4	N	1
jgi|MicpuN3v2|1226|wlab.240.1	wlab.240	N	N	N	CBM13+GT27	N	1
jgi|MicpuN3v2|1267|wlab.230905.1	wlab.230905	N	N	N	AA2	N	1
jgi|MicpuN3v2|1294|wlab.247293.1	wlab.247293	N	N	N	GH38	N	1
jgi|MicpuN3v2|1321|wlab.232609.1	wlab.232609	N	N	N	CBM18+GH16_19	N	1
jgi|MicpuN3v2|1434|wlab.232886.1	wlab.232886	N	N	N	GH47	N	1
jgi|MicpuN3v2|1439|wlab.232881.1	wlab.232881	N	N	N	GT8	N	1
jgi|MicpuN3v2|1508|wlab.244394.1	wlab.244394	N	N	N	GH130	N	1
jgi|MicpuN3v2|1550|wlab.3687.1	wlab.3687	N	N	N	GT0	N	1
jgi|MicpuN3v2|1555|wlab.232808.1	wlab.232808	N	N	N	GH152	N	1
jgi|MicpuN3v2|1614|wlab.232765.1	wlab.232765	N	N	N	GT2	N	1
jgi|MicpuN3v2|161|wlab.243340.1	wlab.243340	N	N	N	GT2	N	1
jgi|MicpuN3v2|164|wlab.246984.1	wlab.246984	N	N	N	GT31	N	1
