#proteinId	gotermId	goName	gotermType	goAcc
2	2930	nucleoside diphosphate kinase activity	molecular_function	GO:0004550
16	3708	binding	molecular_function	GO:0005488
16	2344	ATP citrate synthase activity	molecular_function	GO:0003878
16	3136	succinate-CoA ligase (ADP-forming) activity	molecular_function	GO:0004775
16	3137	succinate-CoA ligase (GDP-forming) activity	molecular_function	GO:0004776
16	18213	succinate-CoA ligase complex	cellular_component	GO:0042709
16	19717	succinate-CoA ligase complex (GDP-forming)	cellular_component	GO:0045244
17	73	acyl-CoA binding	molecular_function	GO:0000062
25	3724	calcium ion binding	molecular_function	GO:0005509
26	9321	integral to membrane	cellular_component	GO:0016021
26	9480	vesicle-mediated transport	biological_process	GO:0016192
26	3052	protein kinase CK2 activity	molecular_function	GO:0004682
27	3930	cytoplasm	cellular_component	GO:0005737
27	4612	protein amino acid methylation	biological_process	GO:0006479
27	5945	protein methyltransferase activity	molecular_function	GO:0008276
27	175	rRNA (adenine-N6,N6-)-dimethyltransferase activity	molecular_function	GO:0000179
27	2346	C-terminal protein carboxyl methyltransferase activity	molecular_function	GO:0003880
27	5847	C-methyltransferase activity	molecular_function	GO:0008169
27	5848	N-methyltransferase activity	molecular_function	GO:0008170
27	5849	O-methyltransferase activity	molecular_function	GO:0008171
27	5850	S-methyltransferase activity	molecular_function	GO:0008172
27	5851	RNA methyltransferase activity	molecular_function	GO:0008173
27	5852	mRNA methyltransferase activity	molecular_function	GO:0008174
27	5853	tRNA methyltransferase activity	molecular_function	GO:0008175
27	5992	site-specific DNA-methyltransferase (cytosine-specific) activity	molecular_function	GO:0008326
27	6085	2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity	molecular_function	GO:0008425
27	6281	rRNA methyltransferase activity	molecular_function	GO:0008649
27	6282	rRNA (uridine-2'-O-)-methyltransferase activity	molecular_function	GO:0008650
27	6619	DNA-methyltransferase activity	molecular_function	GO:0009008
27	6977	rRNA (cytosine-C5-967)-methyltransferase activity	molecular_function	GO:0009383
27	9489	selenocysteine methyltransferase activity	molecular_function	GO:0016205
27	9552	arginine N-methyltransferase activity	molecular_function	GO:0016273
27	9553	protein-arginine N-methyltransferase activity	molecular_function	GO:0016274
27	9556	lysine N-methyltransferase activity	molecular_function	GO:0016278
27	9557	protein-lysine N-methyltransferase activity	molecular_function	GO:0016279
27	9572	tRNA (uracil) methyltransferase activity	molecular_function	GO:0016300
27	9652	tRNA (guanine) methyltransferase activity	molecular_function	GO:0016423
27	9653	tRNA (guanosine) methyltransferase activity	molecular_function	GO:0016424
27	9654	tRNA (adenine)-methyltransferase activity	molecular_function	GO:0016426
27	9655	tRNA (cytosine)-methyltransferase activity	molecular_function	GO:0016427
27	9659	tRNA (uridine) methyltransferase activity	molecular_function	GO:0016431
27	9661	rRNA (adenine) methyltransferase activity	molecular_function	GO:0016433
27	9662	rRNA (cytosine) methyltransferase activity	molecular_function	GO:0016434
27	9663	rRNA (guanine) methyltransferase activity	molecular_function	GO:0016435
27	9664	rRNA (uridine) methyltransferase activity	molecular_function	GO:0016436
27	10743	protein-leucine O-methyltransferase activity	molecular_function	GO:0018423
27	11011	1-phenanthrol methyltransferase activity	molecular_function	GO:0018707
27	11960	protein-arginine N5-methyltransferase activity	molecular_function	GO:0019702
27	13642	methylarsonite methyltransferase activity	molecular_function	GO:0030792
27	19234	demethylmenaquinone methyltransferase activity	molecular_function	GO:0043770
27	19240	cobalt-precorrin-6B C5-methyltransferase activity	molecular_function	GO:0043776
27	19241	cobalt-precorrin-7 C15-methyltransferase activity	molecular_function	GO:0043777
27	19244	cobalt-precorrin-5B C1-methyltransferase activity	molecular_function	GO:0043780
27	19246	cobalt-precorrin-3 C17-methyltransferase activity	molecular_function	GO:0043782
27	19254	dimethyladenosine transferase activity	molecular_function	GO:0043790
27	19255	dimethylamine methyltransferase activity	molecular_function	GO:0043791
27	19267	hydroxyneurosporene-O-methyltransferase activity	molecular_function	GO:0043803
27	19291	tRNA (adenine-57, 58-N(1)-) methyltransferase activity	molecular_function	GO:0043827
27	19297	methylamine-specific methylcobalamin:coenzyme M methyltransferase activity	molecular_function	GO:0043833
27	19298	trimethylamine methyltransferase activity	molecular_function	GO:0043834
27	19315	methanol-specific methylcobalamin:coenzyme M methyltransferase activity	molecular_function	GO:0043851
27	19316	monomethylamine methyltransferase activity	molecular_function	GO:0043852
29	6387	UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate-D-alanyl-D-alanine ligase activity	molecular_function	GO:0008766
29	10509	ribosomal S6-glutamic acid ligase activity	molecular_function	GO:0018169
29	19237	coenzyme F420-0 gamma-glutamyl ligase activity	molecular_function	GO:0043773
29	19238	coenzyme F420-2 alpha-glutamyl ligase activity	molecular_function	GO:0043774
32	6387	UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate-D-alanyl-D-alanine ligase activity	molecular_function	GO:0008766
32	10509	ribosomal S6-glutamic acid ligase activity	molecular_function	GO:0018169
32	19237	coenzyme F420-0 gamma-glutamyl ligase activity	molecular_function	GO:0043773
32	19238	coenzyme F420-2 alpha-glutamyl ligase activity	molecular_function	GO:0043774
33	3724	calcium ion binding	molecular_function	GO:0005509
33	7231	oxygen evolving complex	cellular_component	GO:0009654
33	9285	photosynthesis	biological_process	GO:0015979
33	12141	extrinsic to membrane	cellular_component	GO:0019898
36	9298	proton transport	biological_process	GO:0015992
36	9320	membrane	cellular_component	GO:0016020
36	9691	proton-transporting two-sector ATPase complex	cellular_component	GO:0016469
36	10015	hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances	molecular_function	GO:0016820
38	2738	fructose-bisphosphate aldolase activity	molecular_function	GO:0004332
38	4261	glycolysis	biological_process	GO:0006096
39	2216	RNA binding	molecular_function	GO:0003723
39	4541	RNA processing	biological_process	GO:0006396
39	5851	RNA methyltransferase activity	molecular_function	GO:0008173
39	2290	catalytic activity	molecular_function	GO:0003824
39	3708	binding	molecular_function	GO:0005488
39	5830	metabolic process	biological_process	GO:0008152
40	14260	cobalamin binding	molecular_function	GO:0031419
40	21295	metal ion binding	molecular_function	GO:0046872
40	2290	catalytic activity	molecular_function	GO:0003824
40	24783	iron-sulfur cluster binding	molecular_function	GO:0051536
41	2216	RNA binding	molecular_function	GO:0003723
41	2914	ribonuclease H activity	molecular_function	GO:0004523
41	2175	nucleic acid binding	molecular_function	GO:0003676
44	2553	3',5'-cyclic-nucleotide phosphodiesterase activity	molecular_function	GO:0004114
44	24589	regulation of cyclic-nucleotide phosphodiesterase activity	biological_process	GO:0051342
45	3721	iron ion binding	molecular_function	GO:0005506
45	4556	translation	biological_process	GO:0006412
45	18097	peptide deformylase activity	molecular_function	GO:0042586
45	6121	formylmethionine deformylase activity	molecular_function	GO:0008463
46	9320	membrane	cellular_component	GO:0016020
47	2216	RNA binding	molecular_function	GO:0003723
47	2227	structural constituent of ribosome	molecular_function	GO:0003735
47	3827	intracellular	cellular_component	GO:0005622
47	4025	ribosome	cellular_component	GO:0005840
47	4556	translation	biological_process	GO:0006412
47	2175	nucleic acid binding	molecular_function	GO:0003676
48	3727	protein binding	molecular_function	GO:0005515
48	9320	membrane	cellular_component	GO:0016020
48	9480	vesicle-mediated transport	biological_process	GO:0016192
51	12037	small conjugating protein ligase activity	molecular_function	GO:0019787
51	19152	post-translational protein modification	biological_process	GO:0043687
51	24495	regulation of protein metabolic process	biological_process	GO:0051246
51	3200	ubiquitin-protein ligase activity	molecular_function	GO:0004842
51	24685	regulation of ubiquitin-protein ligase activity	biological_process	GO:0051438
51	24687	regulation of ubiquitin-protein ligase activity during meiotic cell cycle	biological_process	GO:0051440
51	24690	positive regulation of ubiquitin-protein ligase activity	biological_process	GO:0051443
51	24691	negative regulation of ubiquitin-protein ligase activity	biological_process	GO:0051444
52	2657	ubiquitin thiolesterase activity	molecular_function	GO:0004221
52	3827	intracellular	cellular_component	GO:0005622
52	4642	ubiquitin-dependent protein catabolic process	biological_process	GO:0006511
53	2715	exo-alpha-sialidase activity	molecular_function	GO:0004308
54	3043	protein kinase activity	molecular_function	GO:0004672
54	3736	ATP binding	molecular_function	GO:0005524
54	4602	protein amino acid phosphorylation	biological_process	GO:0006468
54	3079	protein-tyrosine kinase activity	molecular_function	GO:0004713
54	3045	protein serine/threonine kinase activity	molecular_function	GO:0004674
54	3046	transmembrane receptor protein serine/threonine kinase activity	molecular_function	GO:0004675
54	3047	3-phosphoinositide-dependent protein kinase activity	molecular_function	GO:0004676
54	3048	DNA-dependent protein kinase activity	molecular_function	GO:0004677
54	3049	AMP-activated protein kinase activity	molecular_function	GO:0004679
54	3050	casein kinase activity	molecular_function	GO:0004680
54	3051	casein kinase I activity	molecular_function	GO:0004681
54	3057	cyclic nucleotide-dependent protein kinase activity	molecular_function	GO:0004690
54	3061	eukaryotic translation initiation factor 2alpha kinase activity	molecular_function	GO:0004694
54	3062	galactosyltransferase-associated kinase activity	molecular_function	GO:0004695
54	3063	glycogen synthase kinase 3 activity	molecular_function	GO:0004696
54	3065	calcium-dependent protein kinase C activity	molecular_function	GO:0004698
54	3067	atypical protein kinase C activity	molecular_function	GO:0004700
54	3068	receptor signaling protein serine/threonine kinase activity	molecular_function	GO:0004702
54	3070	NF-kappaB-inducing kinase activity	molecular_function	GO:0004704
54	3071	JUN kinase activity	molecular_function	GO:0004705
54	3072	JUN kinase kinase kinase activity	molecular_function	GO:0004706
54	3074	MAP kinase kinase activity	molecular_function	GO:0004708
54	3076	MAP/ERK kinase kinase activity	molecular_function	GO:0004710
54	3077	ribosomal protein S6 kinase activity	molecular_function	GO:0004711
54	3084	Janus kinase activity	molecular_function	GO:0004718
54	6004	MAP kinase 1 activity	molecular_function	GO:0008338
54	6005	MP kinase activity	molecular_function	GO:0008339
54	6015	MAP kinase kinase kinase kinase activity	molecular_function	GO:0008349
54	6196	JUN kinase kinase activity	molecular_function	GO:0008545
54	10102	MAP kinase 2 activity	molecular_function	GO:0016908
54	10103	SAP kinase activity	molecular_function	GO:0016909
54	11472	transmembrane receptor protein kinase activity	molecular_function	GO:0019199
54	12154	cyclin-dependent protein kinase activating kinase activity	molecular_function	GO:0019912
54	17037	GTP-dependent protein kinase activity	molecular_function	GO:0034211
55	3933	mitochondrial outer membrane	cellular_component	GO:0005741
55	4936	anion transport	biological_process	GO:0006820
55	5976	voltage-gated anion channel activity	molecular_function	GO:0008308
56	108	sulfate assimilation	biological_process	GO:0000103
56	3736	ATP binding	molecular_function	GO:0005524
56	9573	kinase activity	molecular_function	GO:0016301
56	9970	transferase activity, transferring phosphorus-containing groups	molecular_function	GO:0016772
56	2464	adenylylsulfate kinase activity	molecular_function	GO:0004020
57	175	rRNA (adenine-N6,N6-)-dimethyltransferase activity	molecular_function	GO:0000179
57	2346	C-terminal protein carboxyl methyltransferase activity	molecular_function	GO:0003880
57	5847	C-methyltransferase activity	molecular_function	GO:0008169
57	5848	N-methyltransferase activity	molecular_function	GO:0008170
57	5849	O-methyltransferase activity	molecular_function	GO:0008171
57	5850	S-methyltransferase activity	molecular_function	GO:0008172
57	5851	RNA methyltransferase activity	molecular_function	GO:0008173
57	5852	mRNA methyltransferase activity	molecular_function	GO:0008174
57	5853	tRNA methyltransferase activity	molecular_function	GO:0008175
57	5945	protein methyltransferase activity	molecular_function	GO:0008276
57	5992	site-specific DNA-methyltransferase (cytosine-specific) activity	molecular_function	GO:0008326
57	6085	2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity	molecular_function	GO:0008425
57	6281	rRNA methyltransferase activity	molecular_function	GO:0008649
57	6282	rRNA (uridine-2'-O-)-methyltransferase activity	molecular_function	GO:0008650
57	6619	DNA-methyltransferase activity	molecular_function	GO:0009008
57	6977	rRNA (cytosine-C5-967)-methyltransferase activity	molecular_function	GO:0009383
57	9489	selenocysteine methyltransferase activity	molecular_function	GO:0016205
57	9552	arginine N-methyltransferase activity	molecular_function	GO:0016273
57	9553	protein-arginine N-methyltransferase activity	molecular_function	GO:0016274
57	9556	lysine N-methyltransferase activity	molecular_function	GO:0016278
57	9557	protein-lysine N-methyltransferase activity	molecular_function	GO:0016279
57	9572	tRNA (uracil) methyltransferase activity	molecular_function	GO:0016300
57	9652	tRNA (guanine) methyltransferase activity	molecular_function	GO:0016423
57	9653	tRNA (guanosine) methyltransferase activity	molecular_function	GO:0016424
57	9654	tRNA (adenine)-methyltransferase activity	molecular_function	GO:0016426
57	9655	tRNA (cytosine)-methyltransferase activity	molecular_function	GO:0016427
57	9659	tRNA (uridine) methyltransferase activity	molecular_function	GO:0016431
57	9661	rRNA (adenine) methyltransferase activity	molecular_function	GO:0016433
57	9662	rRNA (cytosine) methyltransferase activity	molecular_function	GO:0016434
57	9663	rRNA (guanine) methyltransferase activity	molecular_function	GO:0016435
57	9664	rRNA (uridine) methyltransferase activity	molecular_function	GO:0016436
57	10743	protein-leucine O-methyltransferase activity	molecular_function	GO:0018423
57	11011	1-phenanthrol methyltransferase activity	molecular_function	GO:0018707
57	11960	protein-arginine N5-methyltransferase activity	molecular_function	GO:0019702
57	13642	methylarsonite methyltransferase activity	molecular_function	GO:0030792
57	19234	demethylmenaquinone methyltransferase activity	molecular_function	GO:0043770
57	19240	cobalt-precorrin-6B C5-methyltransferase activity	molecular_function	GO:0043776
57	19241	cobalt-precorrin-7 C15-methyltransferase activity	molecular_function	GO:0043777
57	19244	cobalt-precorrin-5B C1-methyltransferase activity	molecular_function	GO:0043780
57	19246	cobalt-precorrin-3 C17-methyltransferase activity	molecular_function	GO:0043782
57	19254	dimethyladenosine transferase activity	molecular_function	GO:0043790
57	19255	dimethylamine methyltransferase activity	molecular_function	GO:0043791
57	19267	hydroxyneurosporene-O-methyltransferase activity	molecular_function	GO:0043803
57	19291	tRNA (adenine-57, 58-N(1)-) methyltransferase activity	molecular_function	GO:0043827
57	19297	methylamine-specific methylcobalamin:coenzyme M methyltransferase activity	molecular_function	GO:0043833
57	19298	trimethylamine methyltransferase activity	molecular_function	GO:0043834
57	19315	methanol-specific methylcobalamin:coenzyme M methyltransferase activity	molecular_function	GO:0043851
57	19316	monomethylamine methyltransferase activity	molecular_function	GO:0043852
61	5721	tRNA processing	biological_process	GO:0008033
61	23919	FAD binding	molecular_function	GO:0050660
61	9410	carotenoid biosynthetic process	biological_process	GO:0016117
61	9906	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	molecular_function	GO:0016705
61	25031	all-trans-retinol 13,14-reductase activity	molecular_function	GO:0051786
62	3625	neurotransmitter:sodium symporter activity	molecular_function	GO:0005328
62	4061	integral to plasma membrane	cellular_component	GO:0005887
62	4950	neurotransmitter transport	biological_process	GO:0006836
62	9320	membrane	cellular_component	GO:0016020
63	900	sialate O-acetylesterase activity	molecular_function	GO:0001681
65	5765	N-acetyltransferase activity	molecular_function	GO:0008080
65	5830	metabolic process	biological_process	GO:0008152
70	4591	protein folding	biological_process	GO:0006457
70	13917	heat shock protein binding	molecular_function	GO:0031072
70	24336	unfolded protein binding	molecular_function	GO:0051082
71	3724	calcium ion binding	molecular_function	GO:0005509
72	150	ubiquitin ligase complex	cellular_component	GO:0000151
72	3200	ubiquitin-protein ligase activity	molecular_function	GO:0004842
72	9776	protein ubiquitination	biological_process	GO:0016567
77	3736	ATP binding	molecular_function	GO:0005524
77	6988	folic acid and derivative biosynthetic process	biological_process	GO:0009396
77	13161	5-formyltetrahydrofolate cyclo-ligase activity	molecular_function	GO:0030272
77	10077	cyclo-ligase activity	molecular_function	GO:0016882
80	2175	nucleic acid binding	molecular_function	GO:0003676
80	5939	zinc ion binding	molecular_function	GO:0008270
80	2176	DNA binding	molecular_function	GO:0003677
80	3838	nucleus	cellular_component	GO:0005634
80	3708	binding	molecular_function	GO:0005488
80	3727	protein binding	molecular_function	GO:0005515
80	4499	transcription	biological_process	GO:0006350
80	13391	transcription regulator activity	molecular_function	GO:0030528
82	2290	catalytic activity	molecular_function	GO:0003824
82	19375	cellular metabolic process	biological_process	GO:0044237
82	23921	coenzyme binding	molecular_function	GO:0050662
82	3708	binding	molecular_function	GO:0005488
82	5830	metabolic process	biological_process	GO:0008152
89	3724	calcium ion binding	molecular_function	GO:0005509
90	19912	cell redox homeostasis	biological_process	GO:0045454
90	2234	protein disulfide isomerase activity	molecular_function	GO:0003756
91	2290	catalytic activity	molecular_function	GO:0003824
91	3708	binding	molecular_function	GO:0005488
91	5830	metabolic process	biological_process	GO:0008152
91	247	C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity	molecular_function	GO:0000252
91	248	3-keto sterol reductase activity	molecular_function	GO:0000253
91	2477	aldo-keto reductase activity	molecular_function	GO:0004033
91	2842	isocitrate dehydrogenase activity	molecular_function	GO:0004448
91	2886	mevaldate reductase activity	molecular_function	GO:0004495
91	6491	gluconate dehydrogenase activity	molecular_function	GO:0008875
91	9508	steroid dehydrogenase activity	molecular_function	GO:0016229
91	10761	epoxide dehydrogenase activity	molecular_function	GO:0018451
91	10762	5-exo-hydroxycamphor dehydrogenase activity	molecular_function	GO:0018452
91	10763	2-hydroxytetrahydrofuran dehydrogenase activity	molecular_function	GO:0018453
91	15277	phenylcoumaran benzylic ether reductase activity	molecular_function	GO:0032442
91	16590	steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	molecular_function	GO:0033764
91	16591	steroid dehydrogenase activity, acting on the CH-CH group of donors	molecular_function	GO:0033765
91	19178	(R)-2-hydroxyisocaproate dehydrogenase activity	molecular_function	GO:0043713
91	22621	3-ketoglucose-reductase activity	molecular_function	GO:0048258
91	25233	(R)-2-hydroxyglutarate dehydrogenase activity	molecular_function	GO:0051990
92	5830	metabolic process	biological_process	GO:0008152
92	9710	oxidoreductase activity	molecular_function	GO:0016491
93	2175	nucleic acid binding	molecular_function	GO:0003676
93	2792	helicase activity	molecular_function	GO:0004386
93	3736	ATP binding	molecular_function	GO:0005524
93	5716	ATP-dependent helicase activity	molecular_function	GO:0008026
97	3736	ATP binding	molecular_function	GO:0005524
97	10082	ATPase activity	molecular_function	GO:0016887
97	4927	transport	biological_process	GO:0006810
98	3727	protein binding	molecular_function	GO:0005515
98	150	ubiquitin ligase complex	cellular_component	GO:0000151
98	3200	ubiquitin-protein ligase activity	molecular_function	GO:0004842
98	9776	protein ubiquitination	biological_process	GO:0016567
100	4927	transport	biological_process	GO:0006810
100	9321	integral to membrane	cellular_component	GO:0016021
102	2715	exo-alpha-sialidase activity	molecular_function	GO:0004308
103	3727	protein binding	molecular_function	GO:0005515
103	150	ubiquitin ligase complex	cellular_component	GO:0000151
103	3200	ubiquitin-protein ligase activity	molecular_function	GO:0004842
103	9776	protein ubiquitination	biological_process	GO:0016567
103	2176	DNA binding	molecular_function	GO:0003677
103	3838	nucleus	cellular_component	GO:0005634
104	3727	protein binding	molecular_function	GO:0005515
104	150	ubiquitin ligase complex	cellular_component	GO:0000151
104	3200	ubiquitin-protein ligase activity	molecular_function	GO:0004842
104	9776	protein ubiquitination	biological_process	GO:0016567
107	4639	proteolysis	biological_process	GO:0006508
107	6120	endopeptidase Clp activity	molecular_function	GO:0008462
108	2175	nucleic acid binding	molecular_function	GO:0003676
108	2792	helicase activity	molecular_function	GO:0004386
108	3736	ATP binding	molecular_function	GO:0005524
108	2176	DNA binding	molecular_function	GO:0003677
108	2353	DNA-directed DNA polymerase activity	molecular_function	GO:0003887
108	4421	DNA replication	biological_process	GO:0006260
108	2917	exonuclease activity	molecular_function	GO:0004527
108	3827	intracellular	cellular_component	GO:0005622
108	5716	ATP-dependent helicase activity	molecular_function	GO:0008026
109	2721	[acyl-carrier-protein] S-malonyltransferase activity	molecular_function	GO:0004314
109	4761	fatty acid biosynthetic process	biological_process	GO:0006633
109	5830	metabolic process	biological_process	GO:0008152
109	2290	catalytic activity	molecular_function	GO:0003824
109	3708	binding	molecular_function	GO:0005488
111	5939	zinc ion binding	molecular_function	GO:0008270
111	3727	protein binding	molecular_function	GO:0005515
111	6387	UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate-D-alanyl-D-alanine ligase activity	molecular_function	GO:0008766
111	10509	ribosomal S6-glutamic acid ligase activity	molecular_function	GO:0018169
111	19237	coenzyme F420-0 gamma-glutamyl ligase activity	molecular_function	GO:0043773
111	19238	coenzyme F420-2 alpha-glutamyl ligase activity	molecular_function	GO:0043774
113	2227	structural constituent of ribosome	molecular_function	GO:0003735
113	3827	intracellular	cellular_component	GO:0005622
113	4025	ribosome	cellular_component	GO:0005840
113	4556	translation	biological_process	GO:0006412
114	2227	structural constituent of ribosome	molecular_function	GO:0003735
114	3827	intracellular	cellular_component	GO:0005622
114	4025	ribosome	cellular_component	GO:0005840
114	4556	translation	biological_process	GO:0006412
114	5939	zinc ion binding	molecular_function	GO:0008270
114	2585	dihydrolipoamide branched chain acyltransferase activity	molecular_function	GO:0004147
114	2803	H2A/H2B histone acetyltransferase activity	molecular_function	GO:0004405
114	2804	H3/H4 histone acetyltransferase activity	molecular_function	GO:0004406
114	5765	N-acetyltransferase activity	molecular_function	GO:0008080
114	6038	O-acyltransferase activity	molecular_function	GO:0008374
114	6075	acyltransferase activity	molecular_function	GO:0008415
114	6565	palmitoleoyl [acyl-carrier-protein]-dependent acyltransferase activity	molecular_function	GO:0008951
114	9635	carnitine O-acyltransferase activity	molecular_function	GO:0016406
114	9636	acetyltransferase activity	molecular_function	GO:0016407
114	9637	C-acyltransferase activity	molecular_function	GO:0016408
114	9638	palmitoyltransferase activity	molecular_function	GO:0016409
114	9639	N-acyltransferase activity	molecular_function	GO:0016410
114	9640	acylglycerol O-acyltransferase activity	molecular_function	GO:0016411
114	9641	serine O-acyltransferase activity	molecular_function	GO:0016412
114	9642	O-acetyltransferase activity	molecular_function	GO:0016413
114	9643	O-octanoyltransferase activity	molecular_function	GO:0016414
114	9644	octanoyltransferase activity	molecular_function	GO:0016415
114	9645	O-palmitoyltransferase activity	molecular_function	GO:0016416
114	9646	S-acyltransferase activity	molecular_function	GO:0016417
114	9647	S-acetyltransferase activity	molecular_function	GO:0016418
114	9648	S-malonyltransferase activity	molecular_function	GO:0016419
114	9649	malonyltransferase activity	molecular_function	GO:0016420
114	9676	C-palmitoyltransferase activity	molecular_function	GO:0016454
114	9947	succinyltransferase activity	molecular_function	GO:0016748
114	9948	N-succinyltransferase activity	molecular_function	GO:0016749
114	9949	O-succinyltransferase activity	molecular_function	GO:0016750
114	9950	S-succinyltransferase activity	molecular_function	GO:0016751
114	9951	sinapoyltransferase activity	molecular_function	GO:0016752
114	9952	O-sinapoyltransferase activity	molecular_function	GO:0016753
114	10381	peptidyl-lysine N6-myristoyltransferase activity	molecular_function	GO:0018030
114	10382	peptidyl-lysine N6-palmitoyltransferase activity	molecular_function	GO:0018031
114	11014	benzoyl acetate-CoA thiolase activity	molecular_function	GO:0018711
114	11015	3-hydroxybutyryl-CoA thiolase activity	molecular_function	GO:0018712
114	11016	3-ketopimelyl-CoA thiolase activity	molecular_function	GO:0018713
114	11390	N-palmitoyltransferase activity	molecular_function	GO:0019105
114	11391	myristoyltransferase activity	molecular_function	GO:0019107
114	11465	acyl-CoA N-acyltransferase activity	molecular_function	GO:0019186
114	11963	protein-cysteine S-myristoyltransferase activity	molecular_function	GO:0019705
114	11964	protein-cysteine S-palmitoleyltransferase activity	molecular_function	GO:0019706
114	11965	protein-cysteine S-acyltransferase activity	molecular_function	GO:0019707
114	15051	glucosaminyl-phosphotidylinositol O-acyltransferase activity	molecular_function	GO:0032216
114	19206	L-2-aminoadipate N-acetyltransferase activity	molecular_function	GO:0043741
114	19228	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase activity	molecular_function	GO:0043764
114	19270	keto acid formate lyase activity	molecular_function	GO:0043806
114	19313	Ras palmitoyltransferase activity	molecular_function	GO:0043849
114	21363	azetidine-2-carboxylic acid acetyltransferase activity	molecular_function	GO:0046941
115	2909	nuclease activity	molecular_function	GO:0004518
115	3827	intracellular	cellular_component	GO:0005622
115	4440	DNA repair	biological_process	GO:0006281
115	3721	iron ion binding	molecular_function	GO:0005506
115	9506	iron-sulfur cluster assembly	biological_process	GO:0016226
115	24783	iron-sulfur cluster binding	molecular_function	GO:0051536
118	2176	DNA binding	molecular_function	GO:0003677
118	3736	ATP binding	molecular_function	GO:0005524
118	4429	DNA replication initiation	biological_process	GO:0006270
118	5778	DNA-dependent ATPase activity	molecular_function	GO:0008094
118	162	nucleotide binding	molecular_function	GO:0000166
118	10269	nucleoside-triphosphatase activity	molecular_function	GO:0017111
118	3838	nucleus	cellular_component	GO:0005634
118	2450	ATP-dependent DNA helicase activity	molecular_function	GO:0004003
118	2451	ATP-dependent RNA helicase activity	molecular_function	GO:0004004
118	5716	ATP-dependent helicase activity	molecular_function	GO:0008026
118	5860	RNA-dependent ATPase activity	molecular_function	GO:0008186
118	8800	protein-transmembrane transporting ATPase activity	molecular_function	GO:0015462
118	10082	ATPase activity	molecular_function	GO:0016887
118	10273	single-stranded DNA-dependent ATP-dependent DNA helicase activity	molecular_function	GO:0017116
118	18132	ATPase activity, coupled	molecular_function	GO:0042623
118	18133	ATPase activity, uncoupled	molecular_function	GO:0042624
118	18134	ATPase activity, coupled to transmembrane movement of ions	molecular_function	GO:0042625
118	18135	ATPase activity, coupled to transmembrane movement of substances	molecular_function	GO:0042626
121	2216	RNA binding	molecular_function	GO:0003723
121	754	pseudouridine synthesis	biological_process	GO:0001522
121	7550	pseudouridine synthase activity	molecular_function	GO:0009982
121	3096	pseudouridylate synthase activity	molecular_function	GO:0004730
122	2198	RNA polymerase II transcription factor activity	molecular_function	GO:0003702
122	3838	nucleus	cellular_component	GO:0005634
