query id	subject id	% identity	alignment length	mismatches	gap opens	q. start	q. end	s. start	s. end	evalue	bit score	COG#	functional categories					COG protein description
jgi|MicpuN3v2|1006|wlab.230932.1	CDD:226985	22.449	196	142	4	92	284	24	212	8.39e-30	117	COG4638	P	R				Phenylpropionate dioxygenase and related ring-hydroxylating dioxygenases, large terminal subunit
jgi|MicpuN3v2|10071|wlab.26186.1	CDD:227232	45.000	60	33	0	73	132	3	62	1.21e-15	68.4	COG4895	S					Uncharacterized conserved protein
jgi|MicpuN3v2|10073|wlab.248517.1	CDD:223349	48.864	88	39	1	17	104	7	88	5.78e-28	95.1	COG0271	T					Stress-induced morphogen (activity unknown)
jgi|MicpuN3v2|10076|wlab.239574.1	CDD:223725	48.428	159	72	5	483	634	1	156	7.24e-66	210	COG0652	O					Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family
jgi|MicpuN3v2|10077|wlab.239575.1	CDD:227651	35.862	145	90	3	9	152	9	151	3.16e-32	121	COG5347	U					GTPase-activating protein that regulates ARFs (ADP-ribosylation factors), involved in ARF-mediated vesicular transport
jgi|MicpuN3v2|10079|wlab.239651.1	CDD:224025	25.989	177	108	6	46	200	6	181	1.71e-22	88.5	COG1100	R					GTPase SAR1 and related small G proteins
jgi|MicpuN3v2|1007|wlab.8110.1	CDD:225606	21.986	141	105	2	68	206	90	227	6.76e-05	43.8	COG3064	M					Membrane protein involved in colicin uptake
jgi|MicpuN3v2|10080|wlab.21770.1	CDD:223307	41.463	123	70	2	49	170	2	123	4.17e-56	171	COG0229	O					Conserved domain frequently associated with peptide methionine sulfoxide reductase
jgi|MicpuN3v2|10082|wlab.232079.1	CDD:224829	23.944	71	44	1	71	141	50	110	4.42e-04	35.2	COG1917	S					Uncharacterized conserved protein, contains double-stranded beta-helix domain
jgi|MicpuN3v2|10085|wlab.7833.1	CDD:223627	33.715	611	325	14	330	909	297	858	1.17e-105	355	COG0553	K	L				Superfamily II DNA/RNA helicases, SNF2 family
jgi|MicpuN3v2|10088|wlab.9005.1	CDD:227497	43.269	104	49	1	13	106	9	112	1.39e-27	107	COG5169	K					Heat shock transcription factor
jgi|MicpuN3v2|10089|wlab.239581.1	CDD:223796	32.381	105	67	1	141	245	92	192	1.25e-13	66.9	COG0724	R					RNA-binding proteins (RRM domain)
jgi|MicpuN3v2|10091|wlab.239583.1	CDD:223637	33.333	180	104	5	104	277	3	172	3.66e-44	145	COG0563	F					Adenylate kinase and related kinases
jgi|MicpuN3v2|10092|wlab.7838.1	CDD:225491	22.878	271	167	8	219	472	235	480	6.71e-21	92.2	COG2940	R					Proteins containing SET domain
jgi|MicpuN3v2|10093|wlab.248519.1	CDD:224117	19.512	246	191	2	359	598	256	500	2.34e-11	65.5	COG1196	D					Chromosome segregation ATPases
jgi|MicpuN3v2|10095|wlab.239586.1	CDD:223446	25.989	708	355	18	7	714	49	587	9.49e-104	326	COG0369	P					Sulfite reductase, alpha subunit (flavoprotein)
jgi|MicpuN3v2|10096|wlab.239587.1	CDD:227368	35.876	354	189	11	6	328	23	369	6.96e-77	237	COG5035	D	K	T			Cell cycle control protein
jgi|MicpuN3v2|10097|wlab.239588.1	CDD:223168	53.497	286	119	4	87	371	2	274	1.33e-114	332	COG0090	J					Ribosomal protein L2
jgi|MicpuN3v2|10099|wlab.239590.1	CDD:223727	23.059	438	237	16	62	496	3	343	7.26e-23	98.6	COG0654	H	C				2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases
jgi|MicpuN3v2|10101|wlab.239591.1	CDD:224085	56.369	369	157	3	1	369	1	365	0.0	536	COG1163	R					Predicted GTPase
jgi|MicpuN3v2|10107|wlab.239594.1	CDD:225311	39.373	287	162	8	56	339	10	287	2.91e-58	187	COG2513	G					PEP phosphonomutase and related enzymes
jgi|MicpuN3v2|1010|wlab.247245.1	CDD:223475	25.000	228	158	5	31	251	2	223	2.86e-23	93.9	COG0398	S					Uncharacterized conserved protein
jgi|MicpuN3v2|10110|wlab.248521.1	CDD:227400	33.333	78	52	0	17	94	70	147	1.92e-11	63.1	COG5068	K					Regulator of arginine metabolism and related MADS box-containing transcription factors
jgi|MicpuN3v2|10112|wlab.239601.1	CDD:227455	32.394	71	36	3	33	103	58	116	1.61e-04	40.0	COG5126	T	Z	D	R		Ca2+-binding protein (EF-Hand superfamily)
jgi|MicpuN3v2|10114|wlab.239603.1	CDD:223647	26.415	212	119	8	1036	1243	141	319	4.62e-11	64.3	COG0574	G					Phosphoenolpyruvate synthase/pyruvate phosphate dikinase
jgi|MicpuN3v2|10116|wlab.239605.1	CDD:223702	28.070	114	67	4	122	232	4	105	1.58e-13	65.6	COG0629	L					Single-stranded DNA-binding protein
jgi|MicpuN3v2|10119|wlab.239608.1	CDD:225201	21.896	443	301	14	38	475	1	403	5.34e-25	104	COG2319	R					FOG: WD40 repeat
jgi|MicpuN3v2|1011|wlab.230931.1	CDD:227455	31.746	63	37	2	360	422	97	153	2.97e-07	47.3	COG5126	T	Z	D	R		Ca2+-binding protein (EF-Hand superfamily)
jgi|MicpuN3v2|10120|wlab.248524.1	CDD:223704	20.062	324	134	10	400	719	21	223	1.36e-19	86.3	COG0631	T					Serine/threonine protein phosphatase
jgi|MicpuN3v2|10122|wlab.248526.1	CDD:223619	28.571	154	57	8	119	267	99	204	3.24e-09	52.8	COG0545	O					FKBP-type peptidyl-prolyl cis-trans isomerases 1
jgi|MicpuN3v2|10123|wlab.232069.1	CDD:227365	22.700	2141	1156	54	1160	3246	348	2043	0.0	678	COG5032	T	D	B	L	U	Phosphatidylinositol kinase and protein kinases of the PI-3 kinase family
jgi|MicpuN3v2|10128|wlab.26211.1	CDD:227570	14.660	2981	2153	101	1275	4167	422	3099	4.79e-101	363	COG5245	Z					Dynein, heavy chain
jgi|MicpuN3v2|1012|wlab.233165.1	CDD:225201	25.926	162	106	5	486	643	252	403	2.41e-08	53.9	COG2319	R					FOG: WD40 repeat
jgi|MicpuN3v2|10130|wlab.248529.1	CDD:223704	23.625	309	177	9	212	519	3	253	1.05e-31	120	COG0631	T					Serine/threonine protein phosphatase
jgi|MicpuN3v2|10132|wlab.239617.1	CDD:225035	22.178	505	285	14	114	607	3	410	2.91e-46	165	COG2124	Q					Cytochrome P450
jgi|MicpuN3v2|10135|wlab.239619.1	CDD:227392	22.500	200	119	6	489	677	156	330	5.07e-08	53.2	COG5059	Z					Kinesin-like protein
jgi|MicpuN3v2|10137|wlab.7861.1	CDD:223496	17.970	601	442	11	560	1128	167	748	8.87e-14	73.6	COG0419	L					ATPase involved in DNA repair
jgi|MicpuN3v2|10138|wlab.239621.1	CDD:223733	37.844	473	283	3	138	610	56	517	6.96e-139	412	COG0661	R					Predicted unusual protein kinase
jgi|MicpuN3v2|10140|wlab.239622.1	CDD:225030	31.373	204	120	3	153	355	1	185	2.99e-29	108	COG2119	S					Predicted membrane protein
jgi|MicpuN3v2|10143|wlab.26218.1	CDD:223997	44.037	327	178	4	58	380	16	341	7.66e-125	362	COG1071	C					Pyruvate/2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, eukaryotic type, alpha subunit
jgi|MicpuN3v2|10144|wlab.239624.1	CDD:224017	22.090	421	192	12	32	440	77	373	8.70e-30	117	COG1092	R					Predicted SAM-dependent methyltransferases
jgi|MicpuN3v2|10145|wlab.9008.1	CDD:225201	24.665	373	233	16	141	498	58	397	2.94e-25	105	COG2319	R					FOG: WD40 repeat
jgi|MicpuN3v2|10146|wlab.239625.1	CDD:225566	44.492	236	113	5	3	228	2	229	1.35e-71	218	COG3022	S					Uncharacterized protein conserved in bacteria
jgi|MicpuN3v2|10151|wlab.248532.1	CDD:225749	28.761	226	140	8	164	385	26	234	7.41e-27	104	COG3208	Q					Predicted thioesterase involved in non-ribosomal peptide biosynthesis
jgi|MicpuN3v2|10154|wlab.248534.1	CDD:227455	22.930	157	89	4	51	204	30	157	3.42e-11	58.9	COG5126	T	Z	D	R		Ca2+-binding protein (EF-Hand superfamily)
jgi|MicpuN3v2|10155|wlab.26223.1	CDD:225201	22.345	452	290	16	502	944	50	449	9.79e-27	113	COG2319	R					FOG: WD40 repeat
jgi|MicpuN3v2|10157|wlab.239629.1	CDD:226790	26.316	152	93	5	387	538	84	216	9.46e-14	68.0	COG4340	S					Uncharacterized protein conserved in bacteria
jgi|MicpuN3v2|10158|wlab.239630.1	CDD:223594	26.509	464	255	17	69	509	3	403	1.53e-74	238	COG0520	E					Selenocysteine lyase
jgi|MicpuN3v2|10159|wlab.239632.1	CDD:223395	32.477	545	302	13	3	519	16	522	6.26e-120	360	COG0318	I	Q				Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II
jgi|MicpuN3v2|10162|wlab.246366.1	CDD:223795	26.286	175	123	3	40	208	2	176	2.95e-34	117	COG0723	C					Rieske Fe-S protein
jgi|MicpuN3v2|10165|wlab.239636.1	CDD:226401	21.014	276	192	9	87	362	1	250	1.61e-18	81.0	COG3884	I					Acyl-ACP thioesterase
jgi|MicpuN3v2|10167|wlab.239638.1	CDD:226372	32.248	307	183	10	117	401	2	305	4.68e-78	250	COG3854	S					Uncharacterized protein conserved in bacteria
jgi|MicpuN3v2|10169|wlab.239640.1	CDD:224419	19.136	324	175	12	216	523	166	418	1.47e-06	47.5	COG1502	I					Phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthases and related enzymes
jgi|MicpuN3v2|1016|wlab.247246.1	CDD:224117	16.667	732	509	13	176	848	171	860	2.81e-09	58.6	COG1196	D					Chromosome segregation ATPases
jgi|MicpuN3v2|10170|wlab.239641.1	CDD:226033	22.727	132	74	6	131	262	6	109	3.84e-05	39.3	COG3502	S					Uncharacterized protein conserved in bacteria
jgi|MicpuN3v2|10171|wlab.239642.1	CDD:224290	27.168	173	80	2	72	244	2	128	1.54e-19	79.7	COG1371	S					Uncharacterized conserved protein
jgi|MicpuN3v2|10172|wlab.239643.1	CDD:223496	22.124	113	81	2	493	603	491	598	1.16e-05	45.5	COG0419	L					ATPase involved in DNA repair
jgi|MicpuN3v2|10173|wlab.248556.1	CDD:226022	26.027	365	180	14	18	375	1	282	1.91e-27	110	COG3491	R					Isopenicillin N synthase and related dioxygenases
jgi|MicpuN3v2|10175|wlab.239646.1	CDD:227223	29.557	203	137	4	82	284	52	248	1.51e-19	85.0	COG4886	S					Leucine-rich repeat (LRR) protein
jgi|MicpuN3v2|10177|wlab.239647.1	CDD:223740	27.434	226	145	4	246	463	22	236	1.29e-17	81.1	COG0668	M					Small-conductance mechanosensitive channel
jgi|MicpuN3v2|10180|wlab.248538.1	CDD:227223	35.329	167	106	2	45	210	120	285	4.66e-25	98.1	COG4886	S					Leucine-rich repeat (LRR) protein
jgi|MicpuN3v2|10181|wlab.26236.1	CDD:224037	22.191	356	216	8	715	1062	411	713	2.22e-25	110	COG1112	L					Superfamily I DNA and RNA helicases and helicase subunits
jgi|MicpuN3v2|10183|wlab.247857.1	CDD:224008	40.598	234	123	5	459	691	3	221	1.30e-59	197	COG1083	M					CMP-N-acetylneuraminic acid synthetase
jgi|MicpuN3v2|10192|wlab.246376.1	CDD:223769	15.050	299	235	6	12	309	4	284	2.03e-09	56.8	COG0697	G	E	R			Permeases of the drug/metabolite transporter (DMT) superfamily
jgi|MicpuN3v2|10197|wlab.232081.1	CDD:225843	27.273	220	128	9	108	313	5	206	4.70e-18	79.3	COG3306	M					Glycosyltransferase involved in LPS biosynthesis
jgi|MicpuN3v2|1019|wlab.232598.1	CDD:223535	31.214	519	334	11	23	530	10	516	1.86e-118	356	COG0459	O					Chaperonin GroEL (HSP60 family)
jgi|MicpuN3v2|10200|wlab.239666.1	CDD:224117	18.400	250	187	3	117	364	670	904	2.04e-12	69.4	COG1196	D					Chromosome segregation ATPases
jgi|MicpuN3v2|10202|wlab.239667.1	CDD:223348	30.128	156	89	8	98	245	21	164	6.87e-15	73.2	COG0270	L					Site-specific DNA methylase
jgi|MicpuN3v2|10208|wlab.246379.1	CDD:223936	31.054	351	228	9	15	356	5	350	1.26e-63	206	COG1004	M					Predicted UDP-glucose 6-dehydrogenase
jgi|MicpuN3v2|1020|wlab.232600.1	CDD:224941	26.415	159	96	5	44	196	16	159	3.43e-25	93.3	COG2030	I					Acyl dehydratase
jgi|MicpuN3v2|10213|wlab.246388.1	CDD:223528	28.840	319	212	7	24	336	2	311	3.61e-57	186	COG0451	M	G				Nucleoside-diphosphate-sugar epimerases
jgi|MicpuN3v2|10222|wlab.7904.1	CDD:225872	25.490	102	65	3	236	331	1	97	5.90e-09	51.2	COG3335	L					Transposase and inactivated derivatives
jgi|MicpuN3v2|10225|wlab.239683.1	CDD:223249	28.387	310	160	10	338	642	15	267	1.22e-43	155	COG0171	H					NAD synthase
jgi|MicpuN3v2|1022|wlab.232601.1	CDD:223712	36.774	155	88	5	286	431	1	154	9.09e-24	94.3	COG0639	T					Diadenosine tetraphosphatase and related serine/threonine protein phosphatases
jgi|MicpuN3v2|10232|wlab.247865.1	CDD:225130	23.077	195	126	6	143	321	4	190	3.01e-14	70.2	COG2220	R					Predicted Zn-dependent hydrolases of the beta-lactamase fold
jgi|MicpuN3v2|10238|wlab.239692.1	CDD:225000	41.092	348	198	4	11	353	1	346	1.59e-133	382	COG2089	M					Sialic acid synthase
jgi|MicpuN3v2|10248|wlab.239698.1	CDD:225843	26.267	217	115	9	77	280	3	187	2.81e-14	68.6	COG3306	M					Glycosyltransferase involved in LPS biosynthesis
jgi|MicpuN3v2|10257|wlab.7924.1	CDD:225949	26.277	137	93	4	93	227	3	133	8.33e-06	42.8	COG3415	L					Transposase and inactivated derivatives
jgi|MicpuN3v2|1026|wlab.232605.1	CDD:223547	21.223	278	175	3	903	1180	225	458	4.79e-30	122	COG0471	P					Di- and tricarboxylate transporters
jgi|MicpuN3v2|1028|wlab.232606.1	CDD:223751	22.222	144	110	1	16	157	16	159	3.14e-16	76.9	COG0679	R					Predicted permeases
jgi|MicpuN3v2|1029|wlab.2295.1	CDD:223110	57.947	302	122	5	43	342	1	299	1.13e-133	380	COG0031	E					Cysteine synthase
jgi|MicpuN3v2|102|wlab.243545.1	CDD:227376	29.661	236	126	5	1	236	1	196	1.24e-27	121	COG5043	U					Vacuolar protein sorting-associated protein
jgi|MicpuN3v2|1033|wlab.233157.1	CDD:223513	25.107	466	274	15	11	474	1	393	3.89e-68	220	COG0436	E					Aspartate/tyrosine/aromatic aminotransferase
jgi|MicpuN3v2|1035|wlab.233155.1	CDD:223201	31.907	257	144	7	167	418	82	312	8.34e-55	182	COG0123	B	Q				Deacetylases, including yeast histone deacetylase and acetoin utilization protein
jgi|MicpuN3v2|1036|wlab.233154.1	CDD:225201	18.130	353	211	11	858	1208	115	391	1.02e-08	56.3	COG2319	R					FOG: WD40 repeat
jgi|MicpuN3v2|1037|wlab.230928.1	CDD:227934	30.451	798	456	16	24	767	21	773	6.55e-153	461	COG5647	O					Cullin, a subunit of E3 ubiquitin ligase
jgi|MicpuN3v2|1038|wlab.233149.1	CDD:226275	33.852	257	152	6	103	350	19	266	4.38e-49	163	COG3752	S					Predicted membrane protein
jgi|MicpuN3v2|103|wlab.232461.1	CDD:227223	36.025	161	102	1	207	367	140	299	5.18e-26	108	COG4886	S					Leucine-rich repeat (LRR) protein
jgi|MicpuN3v2|1040|wlab.233150.1	CDD:227392	32.500	320	181	7	294	610	57	344	9.93e-62	213	COG5059	Z					Kinesin-like protein
jgi|MicpuN3v2|1041|wlab.233152.1	CDD:223610	51.917	339	154	4	301	632	1	337	6.27e-127	380	COG0536	R					Predicted GTPase
jgi|MicpuN3v2|1042|wlab.233148.1	CDD:224117	25.000	100	75	0	116	215	231	330	8.01e-04	37.4	COG1196	D					Chromosome segregation ATPases
jgi|MicpuN3v2|1043|wlab.233147.1	CDD:223535	38.192	542	298	14	11	541	4	519	3.04e-159	461	COG0459	O					Chaperonin GroEL (HSP60 family)
jgi|MicpuN3v2|1044|wlab.233144.1	CDD:223803	31.366	322	172	12	355	669	1	280	3.00e-79	252	COG0731	C					Fe-S oxidoreductases
jgi|MicpuN3v2|1047|wlab.244461.1	CDD:227410	55.714	140	60	2	28	165	3	142	4.20e-62	186	COG5078	O					Ubiquitin-protein ligase
jgi|MicpuN3v2|1048|wlab.233294.1	CDD:227394	27.628	409	234	10	104	505	40	393	6.86e-46	163	COG5062	S					Uncharacterized membrane protein
jgi|MicpuN3v2|1049|wlab.233143.1	CDD:223737	22.011	368	243	11	53	390	9	362	2.91e-26	106	COG0665	E					Glycine/D-amino acid oxidases (deaminating)
jgi|MicpuN3v2|104|wlab.21870.1	CDD:227223	34.545	275	177	3	203	476	89	361	5.65e-40	147	COG4886	S					Leucine-rich repeat (LRR) protein
jgi|MicpuN3v2|1050|wlab.233142.1	CDD:223298	25.000	56	42	0	353	408	45	100	6.70e-08	50.8	COG0220	R					Predicted S-adenosylmethionine-dependent methyltransferase
jgi|MicpuN3v2|1052|wlab.233140.1	CDD:223184	22.530	253	168	9	46	293	3	232	9.55e-38	131	COG0106	E					Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase
jgi|MicpuN3v2|1053|wlab.3919.1	CDD:226562	28.378	148	87	5	786	933	8	136	2.75e-14	71.5	COG4076	R					Predicted RNA methylase
jgi|MicpuN3v2|1057|wlab.233137.1	CDD:224390	41.250	400	209	10	49	441	11	391	2.79e-123	361	COG1473	R					Metal-dependent amidase/aminoacylase/carboxypeptidase
jgi|MicpuN3v2|1061|wlab.233133.1	CDD:224117	20.000	110	86	1	49	158	681	788	2.34e-04	38.9	COG1196	D					Chromosome segregation ATPases
jgi|MicpuN3v2|1063|wlab.22588.1	CDD:225321	36.232	69	36	1	380	448	232	292	1.54e-08	53.1	COG2524	K					Predicted transcriptional regulator, contains C-terminal CBS domains
jgi|MicpuN3v2|1064|wlab.247251.1	CDD:225201	22.523	444	266	13	511	941	65	443	4.11e-24	104	COG2319	R					FOG: WD40 repeat
jgi|MicpuN3v2|1065|wlab.233131.1	CDD:224229	24.088	137	93	4	48	176	1	134	2.53e-23	90.6	COG1310	R					Predicted metal-dependent protease of the PAD1/JAB1 superfamily
jgi|MicpuN3v2|1066|wlab.8101.1	CDD:227223	28.261	138	86	7	113	248	70	196	3.81e-06	46.5	COG4886	S					Leucine-rich repeat (LRR) protein
jgi|MicpuN3v2|1069|wlab.233128.1	CDD:227422	23.773	387	240	10	19	374	6	368	1.42e-30	117	COG5091	R					Suppressor of G2 allele of skp1 and related proteins
jgi|MicpuN3v2|1070|wlab.233129.1	CDD:223515	27.338	417	247	10	344	744	3	379	1.18e-48	173	COG0438	M					Glycosyltransferase
jgi|MicpuN3v2|1071|wlab.244457.1	CDD:224025	35.897	195	107	4	5	181	2	196	9.23e-51	160	COG1100	R					GTPase SAR1 and related small G proteins
jgi|MicpuN3v2|1073|wlab.233124.1	CDD:224871	30.921	152	85	8	128	277	101	234	1.02e-06	47.9	COG1960	I					Acyl-CoA dehydrogenases
jgi|MicpuN3v2|1075|wlab.233123.1	CDD:224082	20.942	191	83	8	213	397	10	138	7.85e-07	48.7	COG1160	R					Predicted GTPases
jgi|MicpuN3v2|1076|wlab.233125.1	CDD:224025	38.418	177	91	3	2	160	1	177	3.80e-39	132	COG1100	R					GTPase SAR1 and related small G proteins
jgi|MicpuN3v2|1077|wlab.233127.1	CDD:223733	31.068	412	184	4	48	455	31	346	2.14e-74	246	COG0661	R					Predicted unusual protein kinase
jgi|MicpuN3v2|1078|wlab.247252.1	CDD:225214	29.012	162	78	9	94	245	47	181	1.58e-10	57.8	COG2335	M					Secreted and surface protein containing fasciclin-like repeats
jgi|MicpuN3v2|1079|wlab.233122.1	CDD:225077	41.481	135	77	2	49	181	8	142	1.90e-40	131	COG2166	R					SufE protein probably involved in Fe-S center assembly
jgi|MicpuN3v2|107|wlab.232458.1	CDD:223811	38.272	162	97	1	85	246	40	198	3.66e-41	137	COG0740	O	U				Protease subunit of ATP-dependent Clp proteases
jgi|MicpuN3v2|1080|wlab.233121.1	CDD:227530	35.106	94	61	0	20	113	6	99	4.97e-22	81.2	COG5204	K					Transcription elongation factor SPT4
jgi|MicpuN3v2|1083|wlab.233117.1	CDD:225201	19.160	381	274	9	18	396	70	418	3.62e-09	57.8	COG2319	R					FOG: WD40 repeat
jgi|MicpuN3v2|1087|wlab.1253.1	CDD:225231	22.039	304	149	12	1	291	4	232	2.59e-25	99.1	COG2356	L					Endonuclease I
jgi|MicpuN3v2|1088|wlab.233113.1	CDD:224306	28.947	76	48	2	53	128	55	124	8.34e-06	42.6	COG1388	M					FOG: LysM repeat
jgi|MicpuN3v2|108|wlab.232457.1	CDD:224121	34.661	753	367	18	693	1434	11	649	0.0	552	COG1200	L	K				RecG-like helicase
jgi|MicpuN3v2|1090|wlab.233115.1	CDD:223680	24.348	115	59	4	49	154	6	101	1.44e-07	46.5	COG0607	P					Rhodanese-related sulfurtransferase
jgi|MicpuN3v2|1091|wlab.247255.1	CDD:223959	24.545	220	149	7	1	209	2	215	4.94e-30	111	COG1028	I	Q	R			Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)
jgi|MicpuN3v2|1093|wlab.247257.1	CDD:224590	38.750	80	49	0	176	255	91	170	2.88e-19	80.5	COG1676	J					tRNA splicing endonuclease
jgi|MicpuN3v2|10963|EuGene.0100010752	CDD:227223	36.420	162	102	1	181	341	111	272	2.29e-27	108	COG4886	S					Leucine-rich repeat (LRR) protein
jgi|MicpuN3v2|1097|wlab.68.1	CDD:223562	34.133	542	320	12	206	741	14	524	2.56e-112	348	COG0488	R					ATPase components of ABC transporters with duplicated ATPase domains
jgi|MicpuN3v2|109|wlab.243541.1	CDD:223408	44.481	308	163	3	42	349	1	300	1.65e-112	326	COG0331	I					(acyl-carrier-protein) S-malonyltransferase
jgi|MicpuN3v2|10|wlab.232534.1	CDD:227376	28.655	171	117	2	4	174	3	168	1.50e-16	84.5	COG5043	U					Vacuolar protein sorting-associated protein
jgi|MicpuN3v2|11014|fgenesh2_pg.C_Chr_01000151	CDD:223560	33.333	51	27	2	819	869	11	54	4.15e-07	49.9	COG0484	O					DnaJ-class molecular chaperone with C-terminal Zn finger domain
jgi|MicpuN3v2|1101|wlab.233105.1	CDD:225201	23.708	329	212	13	15	334	58	356	5.29e-23	96.3	COG2319	R					FOG: WD40 repeat
